UniProt_ID,GO_BP,GO_CC,GO_MF,Tissue_specificity,Interactors,Function,Reactome_ID,KEGG_ID
Q8N6P7,cytokine-mediated signaling pathway [GO:0019221]; defense response to Gram-negative bacterium [GO:0050829],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],cytokine receptor activity [GO:0004896]; interferon receptor activity [GO:0004904]; interleukin-20 binding [GO:0042015],"Expressed in colon, liver, lung, pancreas and kidney. No expression in immune cells such as monocytes, T-cells, and NK-cells. Expressed in keratinocytes of normal skin as well as in psoriatic skin lesion. Detected in normal blood brain barrier endothelial cells as well as in multiple sclerosis lesions; Strongly expressed on central nervous system vessels within infiltrated multiple sclerosis lesions. Overexpressed in synovial fluid cells from rheumatoid arthritis and spondyloarthropathy patients. {ECO:0000269|PubMed:12407026, ECO:0000269|PubMed:15308104, ECO:0000269|PubMed:17828272, ECO:0000269|PubMed:17900301, ECO:0000269|PubMed:18061474}.",Q08334; Q9GZX6,"Component of the receptor for IL20, IL22 and IL24. Component of IL22 receptor formed by IL22RA1 and IL10RB enabling IL22 signaling via JAK/STAT pathways. IL22 also induces activation of MAPK1/MAPK3 and Akt kinases pathways. Component of one of the receptor for IL20 and IL24 formed by IL22RA1 and IL20RB also signaling through STATs activation. Mediates IL24 antiangiogenic activity as well as IL24 inhibitory effect on endothelial cell tube formation and differentiation. {ECO:0000269|PubMed:11035029, ECO:0000269|PubMed:11564763, ECO:0000269|PubMed:11706020, ECO:0000269|PubMed:12351624, ECO:0000269|PubMed:12941841, ECO:0000269|PubMed:17204547}.",R-HSA-8854691;,hsa:58985;
Q8NBP7,apoptotic process [GO:0006915]; cellular protein metabolic process [GO:0044267]; cellular response to insulin stimulus [GO:0032869]; cellular response to starvation [GO:0009267]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; kidney development [GO:0001822]; lipoprotein metabolic process [GO:0042157]; liver development [GO:0001889]; low-density lipoprotein particle clearance [GO:0034383]; low-density lipoprotein particle receptor catabolic process [GO:0032802]; lysosomal transport [GO:0007041]; negative regulation of low-density lipoprotein particle clearance [GO:0010989]; negative regulation of low-density lipoprotein particle receptor binding [GO:1905596]; negative regulation of low-density lipoprotein receptor activity [GO:1905598]; negative regulation of receptor-mediated endocytosis involved in cholesterol transport [GO:1905601]; negative regulation of receptor recycling [GO:0001920]; negative regulation of sodium ion transmembrane transporter activity [GO:2000650]; neurogenesis [GO:0022008]; neuron differentiation [GO:0030182]; phospholipid metabolic process [GO:0006644]; positive regulation of low-density lipoprotein particle receptor catabolic process [GO:0032805]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of receptor internalization [GO:0002092]; post-translational protein modification [GO:0043687]; protein autoprocessing [GO:0016540]; regulation of neuron apoptotic process [GO:0043523]; regulation of signaling receptor activity [GO:0010469]; triglyceride metabolic process [GO:0006641],cell surface [GO:0009986]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endolysosome membrane [GO:0036020]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extrinsic component of external side of plasma membrane [GO:0031232]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; PCSK9-AnxA2 complex [GO:1990667]; PCSK9-LDLR complex [GO:1990666]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; rough endoplasmic reticulum [GO:0005791],apolipoprotein binding [GO:0034185]; apolipoprotein receptor binding [GO:0034190]; low-density lipoprotein particle binding [GO:0030169]; low-density lipoprotein particle receptor binding [GO:0050750]; protein self-association [GO:0043621]; receptor inhibitor activity [GO:0030547]; RNA binding [GO:0003723]; serine-type endopeptidase activity [GO:0004252]; sodium channel inhibitor activity [GO:0019871]; very-low-density lipoprotein particle binding [GO:0034189]; very-low-density lipoprotein particle receptor binding [GO:0070326],"Expressed in neuro-epithelioma, colon carcinoma, hepatic and pancreatic cell lines, and in Schwann cells.",P07355; P01130; P08253,"Crucial player in the regulation of plasma cholesterol homeostasis. Binds to low-density lipid receptor family members: low density lipoprotein receptor (LDLR), very low density lipoprotein receptor (VLDLR), apolipoprotein E receptor (LRP1/APOER) and apolipoprotein receptor 2 (LRP8/APOER2), and promotes their degradation in intracellular acidic compartments (PubMed:18039658). Acts via a non-proteolytic mechanism to enhance the degradation of the hepatic LDLR through a clathrin LDLRAP1/ARH-mediated pathway. May prevent the recycling of LDLR from endosomes to the cell surface or direct it to lysosomes for degradation. Can induce ubiquitination of LDLR leading to its subsequent degradation (PubMed:18799458, PubMed:17461796, PubMed:18197702, PubMed:22074827). Inhibits intracellular degradation of APOB via the autophagosome/lysosome pathway in a LDLR-independent manner. Involved in the disposal of non-acetylated intermediates of BACE1 in the early secretory pathway (PubMed:18660751). Inhibits epithelial Na(+) channel (ENaC)-mediated Na(+) absorption by reducing ENaC surface expression primarily by increasing its proteasomal degradation. Regulates neuronal apoptosis via modulation of LRP8/APOER2 levels and related anti-apoptotic signaling pathways. {ECO:0000269|PubMed:17461796, ECO:0000269|PubMed:18039658, ECO:0000269|PubMed:18197702, ECO:0000269|PubMed:18660751, ECO:0000269|PubMed:18799458, ECO:0000269|PubMed:22074827, ECO:0000269|PubMed:22493497, ECO:0000269|PubMed:22580899}.",R-HSA-381426;R-HSA-8866427;R-HSA-8957275;R-HSA-8964038;,hsa:255738;
Q8NFT8,central nervous system development [GO:0007417]; endocytosis [GO:0006897]; glial cell differentiation [GO:0010001]; neuron migration [GO:0001764]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; skeletal muscle fiber development [GO:0048741]; synapse assembly [GO:0007416],dendrite [GO:0030425]; early endosome [GO:0005769]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886],calcium ion binding [GO:0005509]; clathrin binding [GO:0030276]; Notch binding [GO:0005112]; transmembrane signaling receptor activity [GO:0004888],"Expressed in brain, spinal cord and adrenal gland. {ECO:0000269|PubMed:11997712}.",,Activator of the NOTCH1 pathway. May mediate neuron-glia interaction during astrocytogenesis (By similarity). {ECO:0000250}.,R-HSA-2122948;,hsa:92737;
Q8NHL6,"adaptive immune response [GO:0002250]; cellular response to lipopolysaccharide [GO:0071222]; defense response to virus [GO:0051607]; dendritic cell differentiation [GO:0097028]; Fc receptor mediated inhibitory signaling pathway [GO:0002774]; immune response-inhibiting cell surface receptor signaling pathway [GO:0002767]; interferon-gamma production [GO:0032609]; interferon-gamma secretion [GO:0072643]; negative regulation of alpha-beta T cell activation [GO:0046636]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of CD8-positive, alpha-beta T cell activation [GO:2001186]; negative regulation of cell cycle [GO:0045786]; negative regulation of cytokine secretion involved in immune response [GO:0002740]; negative regulation of dendritic cell apoptotic process [GO:2000669]; negative regulation of dendritic cell differentiation [GO:2001199]; negative regulation of endocytosis [GO:0045806]; negative regulation of interferon-beta secretion [GO:0035548]; negative regulation of interferon-gamma biosynthetic process [GO:0045077]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of interleukin-10 secretion [GO:2001180]; negative regulation of interleukin-12 secretion [GO:2001183]; negative regulation of mononuclear cell proliferation [GO:0032945]; negative regulation of natural killer cell mediated cytotoxicity [GO:0045953]; negative regulation of osteoclast development [GO:2001205]; negative regulation of serotonin secretion [GO:0014063]; negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001189]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of transforming growth factor-beta secretion [GO:2001202]; negative regulation of tumor necrosis factor biosynthetic process [GO:0042536]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cytolysis [GO:0045919]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of gamma-delta T cell activation involved in immune response [GO:2001193]; positive regulation of gene expression [GO:0010628]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of transcription by RNA polymerase II [GO:0045944]; receptor internalization [GO:0031623]; regulation of immune response [GO:0050776]; response to virus [GO:0009615]; signal transduction [GO:0007165]; T cell proliferation involved in immune response [GO:0002309]",cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],HLA-A specific inhibitory MHC class I receptor activity [GO:0030107]; HLA-B specific inhibitory MHC class I receptor activity [GO:0030109]; MHC class Ib protein binding [GO:0023029]; MHC class Ib protein complex binding [GO:0023025]; MHC class Ib receptor activity [GO:0032394]; MHC class I protein binding [GO:0042288]; MHC class I receptor activity [GO:0032393]; protein homodimerization activity [GO:0042803]; protein phosphatase 1 binding [GO:0008157]; SH2 domain binding [GO:0042169],"Expressed in B cells, monocytes and various dendritic cell (DC) subsets including myeloid, plasmacytoid and tolerogenic DCs (at protein level) (PubMed:20448110, PubMed:9285411, PubMed:9842885, PubMed:24453251). Expressed in decidual macrophages (at protein level) (PubMed:19304799). Expressed in decidual NK cells (at protein level) (PubMed:29262349). {ECO:0000269|PubMed:19304799, ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:24453251, ECO:0000269|PubMed:29262349, ECO:0000269|PubMed:9285411, ECO:0000269|PubMed:9842885}.",P17693; P29350,"Receptor for class I MHC antigens. Recognizes a broad spectrum of HLA-A, HLA-B, HLA-C, HLA-G and HLA-F alleles (PubMed:16455647, PubMed:28636952). Receptor for H301/UL18, a human cytomegalovirus class I MHC homolog. Ligand binding results in inhibitory signals and down-regulation of the immune response. Engagement of LILRB1 present on natural killer cells or T-cells by class I MHC molecules protects the target cells from lysis. Interaction with HLA-B or HLA-E leads to inhibition of FCER1A signaling and serotonin release. Inhibits FCGR1A-mediated phosphorylation of cellular proteins and mobilization of intracellular calcium ions (PubMed:11907092, PubMed:9285411, PubMed:9842885). Recognizes HLA-G in complex with B2M/beta-2 microglobulin and a nonamer self-peptide (PubMed:16455647). Upon interaction with peptide-bound HLA-G-B2M complex, triggers secretion of growth-promoting factors by decidual NK cells (PubMed:29262349, PubMed:19304799). Reprograms B cells toward an immune suppressive phenotype (PubMed:24453251). {ECO:0000269|PubMed:11907092, ECO:0000269|PubMed:16455647, ECO:0000269|PubMed:19304799, ECO:0000269|PubMed:24453251, ECO:0000269|PubMed:28636952, ECO:0000269|PubMed:29262349, ECO:0000269|PubMed:9285411, ECO:0000269|PubMed:9842885}.",R-HSA-198933;,hsa:10859;
Q8TCT1,bone mineralization involved in bone maturation [GO:0035630]; endochondral ossification [GO:0001958]; phosphatidylcholine biosynthetic process [GO:0006656]; phosphatidylethanolamine biosynthetic process [GO:0006646]; regulation of bone mineralization [GO:0030500],cytosol [GO:0005829]; extracellular matrix [GO:0031012]; extracellular membrane-bounded organelle [GO:0065010],metal ion binding [GO:0046872]; phosphocholine phosphatase activity [GO:0052731]; phosphoethanolamine phosphatase activity [GO:0052732]; pyrophosphatase activity [GO:0016462],"Expressed at sites of mineralization in bone and cartilage. Highly expressed in osteoblast cell line SaOS-2 which produces a mineralized matrix, but not in MG-63 cell line, which do not mineralize. {ECO:0000269|PubMed:15050893}.",,Phosphatase that has a high activity toward phosphoethanolamine (PEA) and phosphocholine (PCho). Involved in the generation of inorganic phosphate for bone mineralization.,R-HSA-1483191;R-HSA-1483213;,hsa:162466;
Q92583,antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell-cell signaling [GO:0007267]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; killing of cells of other organism [GO:0031640]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; multicellular organism development [GO:0007275]; negative regulation of myoblast differentiation [GO:0045662]; neutrophil chemotaxis [GO:0030593]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547],extracellular space [GO:0005615],CCR4 chemokine receptor binding [GO:0031729]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; signaling receptor binding [GO:0005102],"Expressed at high levels in thymus and at low levels in the lung, colon and small intestine.",O00585; O15444; Q9Y258; Q9NRJ3; P13501; P51679; P51681; P02776,Chemotactic factor for T-lymphocytes but not monocytes or granulocytes. May play a role in T-cell development in thymus and in trafficking and activation of mature T-cells. Binds to CCR4. {ECO:0000269|PubMed:10540332}.,R-HSA-380108;,hsa:6361;
Q92597,"cellular response to hypoxia [GO:0071456]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; mast cell activation [GO:0045576]; negative regulation of cell population proliferation [GO:0008285]; peripheral nervous system myelin maintenance [GO:0032287]; postsynapse organization [GO:0099173]; regulation of apoptotic process [GO:0042981]; response to metal ion [GO:0010038]; signal transduction [GO:0007165]",cell-cell adherens junction [GO:0005913]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038],cadherin binding [GO:0045296]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; Rab GTPase binding [GO:0017137],"Ubiquitous; expressed most prominently in placental membranes and prostate, kidney, small intestine, and ovary tissues. Also expressed in heart, brain, skeletal muscle, lung, liver and pancreas. Low levels in peripheral blood leukocytes and in tissues of the immune system. Expressed mainly in epithelial cells. Also found in Schwann cells of peripheral neurons. Reduced expression in adenocarcinomas compared to normal tissues. In colon, prostate and placental membranes, the cells that border the lumen show the highest expression. {ECO:0000269|PubMed:12432451, ECO:0000269|PubMed:8939898, ECO:0000269|PubMed:9251681, ECO:0000269|PubMed:9605764}.",Q9Y3D8; P27824; P35222; P12956,"Stress-responsive protein involved in hormone responses, cell growth, and differentiation. Acts as a tumor suppressor in many cell types. Necessary but not sufficient for p53/TP53-mediated caspase activation and apoptosis. Has a role in cell trafficking, notably of the Schwann cell, and is necessary for the maintenance and development of the peripheral nerve myelin sheath. Required for vesicular recycling of CDH1 and TF. May also function in lipid trafficking. Protects cells from spindle disruption damage. Functions in p53/TP53-dependent mitotic spindle checkpoint. Regulates microtubule dynamics and maintains euploidy. {ECO:0000269|PubMed:15247272, ECO:0000269|PubMed:15377670, ECO:0000269|PubMed:17786215, ECO:0000269|PubMed:9766676}.",R-HSA-6803205;,hsa:10397;
Q92876,amyloid precursor protein metabolic process [GO:0042982]; central nervous system development [GO:0007417]; collagen catabolic process [GO:0030574]; hormone metabolic process [GO:0042445]; myelination [GO:0042552]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; protein autoprocessing [GO:0016540]; regulation of cell differentiation [GO:0045595]; regulation of neuron projection development [GO:0010975]; response to wounding [GO:0009611]; tissue regeneration [GO:0042246],cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; secretory granule [GO:0030141],serine-type endopeptidase activity [GO:0004252],"In fluids, highest levels found in milk of lactating women followed by cerebrospinal fluid, nipple aspirate fluid and breast cyst fluid. Also found in serum, seminal plasma and some amniotic fluids and breast tumor cytosolic extracts. Not detected in urine. At the tissue level, highest concentrations found in glandular tissues such as salivary glands followed by lung, colon, fallopian tube, placenta, breast, pituitary and kidney. Not detected in skin, spleen, bone, thyroid, heart, ureter, liver, muscle, endometrium, testis, pancreas, seminal vesicle, ovary, adrenals and prostate. In brain, detected in gray matter neurons (at protein level). Colocalizes with pathological inclusions such as Lewy bodies and glial cytoplasmic inclusions. Overexpressed in primary breast tumors but not expressed in metastatic tumors. {ECO:0000269|PubMed:10997858, ECO:0000269|PubMed:11018688, ECO:0000269|PubMed:11668196, ECO:0000269|PubMed:12928483, ECO:0000269|PubMed:16800739}.",,"Serine protease which exhibits a preference for Arg over Lys in the substrate P1 position and for Ser or Pro in the P2 position. Shows activity against amyloid precursor protein, myelin basic protein, gelatin, casein and extracellular matrix proteins such as fibronectin, laminin, vitronectin and collagen. Degrades alpha-synuclein and prevents its polymerization, indicating that it may be involved in the pathogenesis of Parkinson disease and other synucleinopathies. May be involved in regulation of axon outgrowth following spinal cord injury. Tumor cells treated with a neutralizing KLK6 antibody migrate less than control cells, suggesting a role in invasion and metastasis. {ECO:0000269|PubMed:11983703, ECO:0000269|PubMed:12878203, ECO:0000269|PubMed:12928483, ECO:0000269|PubMed:15557757, ECO:0000269|PubMed:16321973, ECO:0000269|PubMed:16987227}.",,hsa:5653;
Q92956,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; immune response [GO:0006955]; innate immune response [GO:0045087]; negative regulation of adaptive immune memory response [GO:1905675]; negative regulation of alpha-beta T cell proliferation [GO:0046642]; positive regulation of cytokine secretion involved in immune response [GO:0002741]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of T cell migration [GO:2000406]; T cell costimulation [GO:0031295]; tumor necrosis factor-mediated signaling pathway [GO:0033209],external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],cytokine binding [GO:0019955]; tumor necrosis factor-activated receptor activity [GO:0005031]; ubiquitin protein ligase binding [GO:0031625]; virus receptor activity [GO:0001618],"Widely expressed, with the highest expression in lung, spleen and thymus. Expressed in a subpopulation of B cells and monocytes (PubMed:18193050). Expressed in naive T cells (PubMed:19915044). {ECO:0000269|PubMed:18193050, ECO:0000269|PubMed:19915044}.",O43557; Q12933; Q12933-2; O00463,"Receptor for four distinct ligands: The TNF superfamily members TNFSF14/LIGHT and homotrimeric LTA/lymphotoxin-alpha and the immunoglobulin superfamily members BTLA and CD160, altogether defining a complex stimulatory and inhibitory signaling network (PubMed:9462508, PubMed:10754304, PubMed:18193050, PubMed:23761635). Signals via the TRAF2-TRAF3 E3 ligase pathway to promote immune cell survival and differentiation (PubMed:19915044, PubMed:9153189, PubMed:9162022). Participates in bidirectional cell-cell contact signaling between antigen presenting cells and lymphocytes. In response to ligation of TNFSF14/LIGHT, delivers costimulatory signals to T cells, promoting cell proliferation and effector functions (PubMed:10754304). Interacts with CD160 on NK cells, enhancing IFNG production and anti-tumor immune response (PubMed:23761635). In the context of bacterial infection, acts as a signaling receptor on epithelial cells for CD160 from intraepithelial lymphocytes, triggering the production of antimicrobial proteins and proinflammatory cytokines (By similarity). Upon binding to CD160 on activated CD4+ T cells, downregulates CD28 costimulatory signaling, restricting memory and alloantigen-specific immune response (PubMed:18193050). May interact in cis (on the same cell) or in trans (on other cells) with BTLA (PubMed:19915044) (By similarity). In cis interactions, appears to play an immune regulatory role inhibiting in trans interactions in naive T cells to maintain a resting state. In trans interactions, can predominate during adaptive immune response to provide survival signals to effector T cells (PubMed:19915044) (By similarity). {ECO:0000250|UniProtKB:Q80WM9, ECO:0000269|PubMed:10754304, ECO:0000269|PubMed:18193050, ECO:0000269|PubMed:19915044, ECO:0000269|PubMed:23761635, ECO:0000269|PubMed:9153189, ECO:0000269|PubMed:9162022, ECO:0000269|PubMed:9462508}.; (Microbial infection) Acts as a receptor for Herpes simplex virus 1/HHV-1. {ECO:0000269|PubMed:11511370, ECO:0000269|PubMed:9696799}.; (Microbial infection) Acts as a receptor for Herpes simplex virus 2/HHV-2. {ECO:0000269|PubMed:11511370, ECO:0000269|PubMed:9696799}.",R-HSA-388841;R-HSA-5669034;,hsa:8764;
Q969D9,antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; interleukin-7-mediated signaling pathway [GO:0038111]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chemokine (C-C motif) ligand 1 production [GO:0071654]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine-mediated signaling pathway [GO:0001961]; positive regulation of granulocyte colony-stimulating factor production [GO:0071657]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-13 production [GO:0032736]; positive regulation of interleukin-5 production [GO:0032754]; positive regulation of interleukin-5 secretion [GO:2000664]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of mast cell activation [GO:0033005]; positive regulation of receptor signaling pathway via STAT [GO:1904894]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531],extracellular region [GO:0005576]; extracellular space [GO:0005615],cytokine activity [GO:0005125]; interleukin-7 receptor binding [GO:0005139],"Isoform 1 is expressed in a number of tissues including heart, liver and prostate. Isoform 2 is the predominant form in keratinocytes of oral mucosa, skin and in salivary glands. It is secreted into saliva. {ECO:0000269|PubMed:11480573, ECO:0000269|PubMed:24850429}.",,"Isoform 1: Cytokine that induces the release of T-cell-attracting chemokines from monocytes and, in particular, enhances the maturation of CD11c(+) dendritic cells. Can induce allergic inflammation by directly activating mast cells. {ECO:0000269|PubMed:11418668, ECO:0000269|PubMed:11480573, ECO:0000269|PubMed:17242164}.; Isoform 2: May act as an antimicrobial peptide in the oral cavity and on the skin. {ECO:0000269|PubMed:24850429}.",R-HSA-1266695;,hsa:85480;
Q969M7,post-translational protein modification [GO:0043687]; protein neddylation [GO:0045116],cytosol [GO:0005829],ATP binding [GO:0005524]; NEDD8 conjugating enzyme activity [GO:0061654]; NEDD8 transferase activity [GO:0019788],Widely expressed (at protein level). {ECO:0000269|PubMed:19250909}.,,"Accepts the ubiquitin-like protein NEDD8 from the UBA3-NAE1 E1 complex and catalyzes its covalent attachment to other proteins. The specific interaction with the E3 ubiquitin ligase RBX2, but not RBX1, suggests that the RBX2-UBE2F complex neddylates specific target proteins, such as CUL5. {ECO:0000269|PubMed:19250909}.",R-HSA-8951664;R-HSA-983168;,hsa:140739;
Q96B36,negative regulation of cell size [GO:0045792]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of TOR signaling [GO:0032007]; neurotrophin TRK receptor signaling pathway [GO:0048011]; regulation of apoptotic process [GO:0042981]; regulation of cellular response to heat [GO:1900034]; regulation of neuron apoptotic process [GO:0043523],cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; TORC1 complex [GO:0031931],,"Widely expressed with highest levels of expression in liver and heart. Expressed at higher levels in cancer cell lines (e.g. A-549 and HeLa) than in normal cell lines (e.g. HEK293). {ECO:0000269|PubMed:12524439, ECO:0000269|PubMed:16174443}.",P29311; Q04917,"Subunit of mTORC1, which regulates cell growth and survival in response to nutrient and hormonal signals. mTORC1 is activated in response to growth factors or amino acids. Growth factor-stimulated mTORC1 activation involves a AKT1-mediated phosphorylation of TSC1-TSC2, which leads to the activation of the RHEB GTPase that potently activates the protein kinase activity of mTORC1. Amino acid-signaling to mTORC1 requires its relocalization to the lysosomes mediated by the Ragulator complex and the Rag GTPases. Activated mTORC1 up-regulates protein synthesis by phosphorylating key regulators of mRNA translation and ribosome synthesis. mTORC1 phosphorylates EIF4EBP1 and releases it from inhibiting the elongation initiation factor 4E (eiF4E). mTORC1 phosphorylates and activates S6K1 at 'Thr-389', which then promotes protein synthesis by phosphorylating PDCD4 and targeting it for degradation. Within mTORC1, AKT1S1 negatively regulates mTOR activity in a manner that is dependent on its phosphorylation state and binding to 14-3-3 proteins. Inhibits RHEB-GTP-dependent mTORC1 activation. Substrate for AKT1 phosphorylation, but can also be activated by AKT1-independent mechanisms. May also play a role in nerve growth factor-mediated neuroprotection. {ECO:0000269|PubMed:16174443, ECO:0000269|PubMed:17277771, ECO:0000269|PubMed:17386266}.",R-HSA-165159;R-HSA-166208;R-HSA-198323;R-HSA-3371571;R-HSA-5674400;,hsa:84335;
Q96EK5,cell differentiation [GO:0030154]; in utero embryonic development [GO:0001701]; mitochondrial transport [GO:0006839]; nervous system development [GO:0007399],cytoskeleton [GO:0005856]; mitochondrion [GO:0005739],kinesin binding [GO:0019894],"Highly expressed in heart, brain, ovary, testis, spinal cord and all specific brain regions examined. Moderate expressed at intermediate level in all other adult tissues examined, as well as in fetal liver and brain. Not expressed in blood leukocytes. {ECO:0000269|PubMed:10574462, ECO:0000269|PubMed:16225668}.",P16444; P47804,"Required for organization of axonal microtubules, and axonal outgrowth and maintenance during peripheral and central nervous system development. {ECO:0000269|PubMed:16225668, ECO:0000269|PubMed:20621975, ECO:0000269|PubMed:23427148}.",,hsa:26128;
Q96EP0,CD40 signaling pathway [GO:0023035]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein targeting to mitochondrion [GO:1903955]; protein linear polyubiquitination [GO:0097039]; protein polyubiquitination [GO:0000209]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; T cell receptor signaling pathway [GO:0050852],CD40 receptor complex [GO:0035631]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; LUBAC complex [GO:0071797],metal ion binding [GO:0046872]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842],Expressed in both normal and transformed breast epithelial cell lines. {ECO:0000269|PubMed:15093743}.,Q9QYP6; Q8N4L8; Q9Y6K9; Q9BYQ4; Q9BYM8; Q9H0F6; P84022; Q5TAL4; Q08117; Q4VA12; Q9Y5U2; P62837; Q6EMK4,"E3 ubiquitin-protein ligase component of the LUBAC complex which conjugates linear ('Met-1'-linked) polyubiquitin chains to substrates and plays a key role in NF-kappa-B activation and regulation of inflammation (PubMed:17006537, PubMed:19136968, PubMed:20005846, PubMed:21455173, PubMed:21455180, PubMed:21455181, PubMed:22863777, PubMed:28189684). LUBAC conjugates linear polyubiquitin to IKBKG and RIPK1 and is involved in activation of the canonical NF-kappa-B and the JNK signaling pathways (PubMed:17006537, PubMed:19136968, PubMed:20005846, PubMed:21455173, PubMed:21455180, PubMed:21455181, PubMed:22863777, PubMed:28189684). Linear ubiquitination mediated by the LUBAC complex interferes with TNF-induced cell death and thereby prevents inflammation (PubMed:21455173, PubMed:28189684). LUBAC is recruited to the TNF-R1 signaling complex (TNF-RSC) following polyubiquitination of TNF-RSC components by BIRC2 and/or BIRC3 and to conjugate linear polyubiquitin to IKBKG and possibly other components contributing to the stability of the complex (PubMed:20005846, PubMed:27458237). Together with OTULIN, the LUBAC complex regulates the canonical Wnt signaling during angiogenesis (PubMed:23708998). Binds polyubiquitin of different linkage types (PubMed:23708998). {ECO:0000269|PubMed:17006537, ECO:0000269|PubMed:19136968, ECO:0000269|PubMed:20005846, ECO:0000269|PubMed:21455173, ECO:0000269|PubMed:21455180, ECO:0000269|PubMed:21455181, ECO:0000269|PubMed:22863777, ECO:0000269|PubMed:23708998, ECO:0000269|PubMed:27458237, ECO:0000269|PubMed:28189684}.",R-HSA-5357905;R-HSA-5357956;,hsa:55072;
