"","UniProt_ID","Function"
"447","P08962","Plays a role in VEGFA signaling via its role in regulating the internalization of KDR/VEGFR2"
"448","P08962","Plays a role in intracellular vesicular transport processes, and is required for normal trafficking of the PMEL luminal domain that is essential for the development and maturation of melanocytes"
"449","P08962","Plays a role in the adhesion of leukocytes onto endothelial cells via its role in the regulation of SELP trafficking"
"450","P08962","May play a role in mast cell degranulation in response to Ms4a2/FceRI stimulation, but not in mast cell degranulation in response to other stimuli"
"451","P09038","Acts as a ligand for FGFR1, FGFR2, FGFR3 and FGFR4 "
"452","P09038","Also acts as an integrin ligand which is required for FGF2 signaling "
"453","P09038","Binds to integrin ITGAV:ITGB3 "
"454","P09038","Plays an important role in the regulation of cell survival, cell division, cell differentiation and cell migration "
"455","P09038","Functions as a potent mitogen in vitro "
"456","P09038","Can induce angiogenesis "
"457","P09211","Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles"
"458","P09211","Regulates negatively CDK5 activity via p25/p35 translocation to prevent neurodegeneration"
"459","P09237","Degrades casein, gelatins of types I, III, IV, and V, and fibronectin"
"460","P09237","Activates procollagenase"
"461","P09238","Can degrade fibronectin, gelatins of type I, III, IV, and V; weakly collagens III, IV, and V"
"462","P09238","Activates procollagenase."
"463","P09341","Has chemotactic activity for neutrophils"
"464","P09341","May play a role in inflammation and exerts its effects on endothelial cells in an autocrine fashion"
"465","P09341","In vitro, the processed forms GRO-alpha(4-73), GRO-alpha(5-73) and GRO-alpha(6-73) show a 30-fold higher chemotactic activity"
"466","P09382","Lectin that binds beta-galactoside and a wide array of complex carbohydrates"
"467","P09382","Plays a role in regulating apoptosis, cell proliferation and cell differentiation"
"468","P09382","Inhibits CD45 protein phosphatase activity and therefore the dephosphorylation of Lyn kinase"
"469","P09382","Strong inducer of T-cell apoptosis"
"470","P09466","Glycoprotein that regulates critical steps during fertilization and also has immunomonomodulatory effects"
"471","P09466","Four glycoforms, namely glycodelin-S, -A, -F and -C have been identified in reproductive tissues that differ in glycosylation and biological activity"
"472","P09466","Glycodelin-A has contraceptive and immunosuppressive activities "
"473","P09466","Glycodelin-C stimulates binding of spermatozoa to the zona pellucida "
"474","P09466","Glycodelin-F inhibits spermatozoa-zona pellucida binding and significantly suppresses progesterone-induced acrosome reaction of spermatozoa "
"475","P09466","Glycodelin-S in seminal plasma maintains the uncapacitated state of human spermatozoa "
"476","P09601","Heme oxygenase cleaves the heme ring at the alpha methene bridge to form biliverdin"
"477","P09601","Biliverdin is subsequently converted to bilirubin by biliverdin reductase"
"478","P09601","Under physiological conditions, the activity of heme oxygenase is highest in the spleen, where senescent erythrocytes are sequestrated and destroyed"
"479","P09601","Exhibits cytoprotective effects since excess of free heme sensitizes cells to undergo apoptosis."
"480","P09603","Cytokine that plays an essential role in the regulation of survival, proliferation and differentiation of hematopoietic precursor cells, especially mononuclear phagocytes, such as macrophages and monocytes"
"481","P09603","Promotes the release of proinflammatory chemokines, and thereby plays an important role in innate immunity and in inflammatory processes"
"482","P09603","Plays an important role in the regulation of osteoclast proliferation and differentiation, the regulation of bone resorption, and is required for normal bone development"
"483","P09603","Required for normal male and female fertility"
"484","P09603","Promotes reorganization of the actin cytoskeleton, regulates formation of membrane ruffles, cell adhesion and cell migration"
"485","P09603","Plays a role in lipoprotein clearance"
"486","P0DOY2","Constant region of immunoglobulin light chains"
"487","P0DOY2","Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes"
"488","P0DOY2","In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells"
"489","P0DOY2","Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens "
"490","P0DOY2","The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain"
"491","P0DOY2","Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen"
"492","P0DOY2","The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen "
"493","P10144","This enzyme is necessary for target cell lysis in cell-mediated immune responses"
"494","P10144","It cleaves after Asp"
"495","P10144","Seems to be linked to an activation cascade of caspases (aspartate-specific cysteine proteases) responsible for apoptosis execution"
"496","P10144","Cleaves caspase-3, -7, -9 and 10 to give rise to active enzymes mediating apoptosis."
"497","P10145","IL-8 is a chemotactic factor that attracts neutrophils, basophils, and T-cells, but not monocytes"
"498","P10145","It is also involved in neutrophil activation"
"499","P10145","It is released from several cell types in response to an inflammatory stimulus"
"500","P10145","IL-8(6-77) has a 5-10-fold higher activity on neutrophil activation, IL-8(5-77) has increased activity on neutrophil activation and IL-8(7-77) has a higher affinity to receptors CXCR1 and CXCR2 as compared to IL-8(1-77), respectively"
"501","P10147","Monokine with inflammatory and chemokinetic properties"
"502","P10147","Binds to CCR1, CCR4 and CCR5"
"503","P10147","One of the major HIV-suppressive factors produced by CD8+ T-cells"
"504","P10147","Recombinant MIP-1-alpha induces a dose-dependent inhibition of different strains of HIV-1, HIV-2, and simian immunodeficiency virus (SIV)"
"505","P10451","Binds tightly to hydroxyapatite"
"506","P10451","Appears to form an integral part of the mineralized matrix"
"507","P10451","Probably important to cell-matrix interaction.; Acts as a cytokine involved in enhancing production of interferon-gamma and interleukin-12 and reducing production of interleukin-10 and is essential in the pathway that leads to type I immunity"
"508","P10646","Inhibits factor X (X(a)) directly and, in a Xa-dependent way, inhibits VIIa/tissue factor activity, presumably by forming a quaternary Xa/LACI/VIIa/TF complex"
"509","P10646","It possesses an antithrombotic action and also the ability to associate with lipoproteins in plasma."
"510","P10721","Tyrosine-protein kinase that acts as cell-surface receptor for the cytokine KITLG/SCF and plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis"
"511","P10721","In response to KITLG/SCF binding, KIT can activate several signaling pathways"
"512","P10721","Phosphorylates PIK3R1, PLCG1, SH2B2/APS and CBL"
"513","P10721","Activates the AKT1 signaling pathway by phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase"
"514","P10721","Activated KIT also transmits signals via GRB2 and activation of RAS, RAF1 and the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1"
"515","P10721","Promotes activation of STAT family members STAT1, STAT3, STAT5A and STAT5B"
"516","P10721","Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate"
"517","P10721","KIT signaling is modulated by protein phosphatases, and by rapid internalization and degradation of the receptor"
"518","P10721","Activated KIT promotes phosphorylation of the protein phosphatases PTPN6/SHP-1 and PTPRU, and of the transcription factors STAT1, STAT3, STAT5A and STAT5B"
"519","P10721","Promotes phosphorylation of PIK3R1, CBL, CRK (isoform Crk-II), LYN, MAPK1/ERK2 and/or MAPK3/ERK1, PLCG1, SRC and SHC1"
"520","P10747","Involved in T-cell activation, the induction of cell proliferation and cytokine production and promotion of T-cell survival"
"521","P10747","Enhances the production of IL4 and IL10 in T-cells in conjunction with TCR/CD3 ligation and CD40L costimulation "
"522","P10747","Isoform 3 enhances CD40L-mediated activation of NF-kappa-B and kinases MAPK8 and PAK2 in T-cells "
"523","P11215","Integrin ITGAM/ITGB2 is implicated in various adhesive interactions of monocytes, macrophages and granulocytes as well as in mediating the uptake of complement-coated particles and pathogens "
"524","P11215","It is identical with CR-3, the receptor for the iC3b fragment of the third complement component"
"525","P11215","It probably recognizes the R-G-D peptide in C3b"
"526","P11215","Integrin ITGAM/ITGB2 is also a receptor for fibrinogen, factor X and ICAM1"
"527","P11215","It recognizes P1 and P2 peptides of fibrinogen gamma chain"
"528","P11215","Regulates neutrophil migration "
"529","P11215","In association with beta subunit ITGB2/CD18, required for CD177-PRTN3-mediated activation of TNF primed neutrophils "
"530","P11215","May regulate phagocytosis-induced apoptosis in extravasated neutrophils (By similarity)"
"531","P11215","May play a role in mast cell development (By similarity)"
"532","P11215","Required with TYROBP/DAP12 in microglia to control production of microglial superoxide ions which promote the neuronal apoptosis that occurs during brain development (By similarity)"
"533","P11226","Calcium-dependent lectin involved in innate immune defense"
"534","P11226","Binds mannose, fucose and N-acetylglucosamine on different microorganisms and activates the lectin complement pathway"
"535","P11226","Binds to late apoptotic cells, as well as to apoptotic blebs and to necrotic cells, but not to early apoptotic cells, facilitating their uptake by macrophages"
"536","P11226","May bind DNA"
"537","P11684","Binds phosphatidylcholine, phosphatidylinositol, polychlorinated biphenyls (PCB) and weakly progesterone, potent inhibitor of phospholipase A2."
"538","P12034","Plays an important role in the regulation of cell proliferation and cell differentiation"
"539","P12034","Required for normal regulation of the hair growth cycle"
"540","P12034","Functions as an inhibitor of hair elongation by promoting progression from anagen, the growth phase of the hair follicle, into catagen the apoptosis-induced regression phase (By similarity)"
"541","P12318","Binds to the Fc region of immunoglobulins gamma"
"542","P12318","Low affinity receptor"
"543","P12318","By binding to IgG it initiates cellular responses against pathogens and soluble antigens"
"544","P12318","Promotes phagocytosis of opsonized antigens"
"545","P12544","Abundant protease in the cytosolic granules of cytotoxic T-cells and NK-cells which activates caspase-independent cell death with morphological features of apoptosis when delivered into the target cell through the immunological synapse"
"546","P12544","It cleaves after Lys or Arg"
"547","P12544","Cleaves APEX1 after 'Lys-31' and destroys its oxidative repair activity"
"548","P12544","Cleaves the nucleosome assembly protein SET after 'Lys-189', which disrupts its nucleosome assembly activity and allows the SET complex to translocate into the nucleus to nick and degrade the DNA"
"549","P12830","Cadherins are calcium-dependent cell adhesion proteins "
"550","P12830","They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types"
"551","P12830","CDH1 is involved in mechanisms regulating cell-cell adhesions, mobility and proliferation of epithelial cells "
"552","P12830","Has a potent invasive suppressor role"
"553","P12830","It is a ligand for integrin alpha-E/beta-7"
"554","P12830","Has a strong inhibitory effect on APP C99 and C83 production"
"555","P13232","Hematopoietic growth factor capable of stimulating the proliferation of lymphoid progenitors"
"556","P13232","It is important for proliferation during certain stages of B-cell maturation."
"557","P13236","Monokine with inflammatory and chemokinetic properties"
"558","P13236","Binds to CCR5"
"559","P13236","One of the major HIV-suppressive factors produced by CD8+ T-cells"
"560","P13236","Recombinant MIP-1-beta induces a dose-dependent inhibition of different strains of HIV-1, HIV-2, and simian immunodeficiency virus (SIV)"
"561","P13236","The processed form MIP-1-beta(3-69) retains the abilities to induce down-modulation of surface expression of the chemokine receptor CCR5 and to inhibit the CCR5-mediated entry of HIV-1 in T-cells"
"562","P13236","MIP-1-beta(3-69) is also a ligand for CCR1 and CCR2 isoform B"
"563","P13284","Lysosomal thiol reductase that can reduce protein disulfide bonds"
"564","P13284","May facilitate the complete unfolding of proteins destined for lysosomal degradation"
"565","P13284","Plays an important role in antigen processing"
"566","P13284","Facilitates the generation of MHC class II-restricted epitodes from disulfide bond-containing antigen by the endocytic reduction of disulfide bonds (By similarity)"
"567","P13284","Facilitates also MHC class I-restricted recognition of exogenous antigens containing disulfide bonds by CD8+ T-cells or crosspresentation (By similarity)"
"568","P13385","GPI-anchored cell membrane protein involved in Nodal signaling"
"569","P13385","Cell-associated TDGF1 acts as a Nodal coreceptor in cis"
"570","P13385","Shedding of TDGF1 by TMEM8A modulates Nodal signaling by allowing soluble TDGF1 to act as a Nodal coreceptor on other cells "
"571","P13385","Could play a role in the determination of the epiblastic cells that subsequently give rise to the mesoderm "
"572","P13500","Acts as a ligand for C-C chemokine receptor CCR2 "
"573","P13500","Signals through binding and activation of CCR2 and induces a strong chemotactic response and mobilization of intracellular calcium ions "
"574","P13500","Exhibits a chemotactic activity for monocytes and basophils but not neutrophils or eosinophils "
"575","P13500","May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis "
"576","P13501","Chemoattractant for blood monocytes, memory T-helper cells and eosinophils"
"577","P13501","Causes the release of histamine from basophils and activates eosinophils"
"578","P13501","May activate several chemokine receptors including CCR1, CCR3, CCR4 and CCR5"
"579","P13501","One of the major HIV-suppressive factors produced by CD8+ T-cells"
"580","P13501","Recombinant RANTES protein induces a dose-dependent inhibition of different strains of HIV-1, HIV-2, and simian immunodeficiency virus (SIV)"
"581","P13501","The processed form RANTES(3-68) acts as a natural chemotaxis inhibitor and is a more potent inhibitor of HIV-1-infection"
"582","P13501","The second processed form RANTES(4-68) exhibits reduced chemotactic and HIV-suppressive activity compared with RANTES(1-68) and RANTES(3-68) and is generated by an unidentified enzyme associated with monocytes and neutrophils "
"583","P13501","May also be an agonist of the G protein-coupled receptor GPR75, stimulating inositol trisphosphate production and calcium mobilization through its activation"
"584","P13501","Together with GPR75, may play a role in neuron survival through activation of a downstream signaling pathway involving the PI3, Akt and MAP kinases"
"585","P13501","By activating GPR75 may also play a role in insulin secretion by islet cells "
"586","P13591","This protein is a cell adhesion molecule involved in neuron-neuron adhesion, neurite fasciculation, outgrowth of neurites, etc.; (Microbial infection) Acts as a receptor for rabies virus"
"587","P13598","ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2)"
"588","P13598","ICAM2 may play a role in lymphocyte recirculation by blocking LFA-1-dependent cell adhesion"
"589","P13598","It mediates adhesive interactions important for antigen-specific immune response, NK-cell mediated clearance, lymphocyte recirculation, and other cellular interactions important for immune response and surveillance."
"590","P13686","Involved in osteopontin/bone sialoprotein dephosphorylation"
"591","P13686","Its expression seems to increase in certain pathological states such as Gaucher and Hodgkin diseases, the hairy cell, the B-cell, and the T-cell leukemias."
"592","P13725","Growth regulator"
"593","P13725","Inhibits the proliferation of a number of tumor cell lines"
"594","P13725","Stimulates proliferation of AIDS-KS cells"
"595","P13725","It regulates cytokine production, including IL-6, G-CSF and GM-CSF from endothelial cells"
"596","P13725","Uses both type I OSM receptor (heterodimers composed of LIFR and IL6ST) and type II OSM receptor (heterodimers composed of OSMR and IL6ST)"
"597","P13725","Involved in the maturation of fetal hepatocytes, thereby promoting liver development and regeneration (By similarity)"
"598","P13987","Potent inhibitor of the complement membrane attack complex (MAC) action"
"599","P13987","Acts by binding to the C8 and/or C9 complements of the assembling MAC, thereby preventing incorporation of the multiple copies of C9 required for complete formation of the osmolytic pore"
"600","P13987","This inhibitor appears to be species-specific"
"601","P13987","Involved in signal transduction for T-cell activation complexed to a protein tyrosine kinase.; The soluble form from urine retains its specific complement binding activity, but exhibits greatly reduced ability to inhibit MAC assembly on cell membranes."
"602","P14151","Calcium-dependent lectin that mediates cell adhesion by binding to glycoproteins on neighboring cells "
"603","P14151","Mediates the adherence of lymphocytes to endothelial cells of high endothelial venules in peripheral lymph nodes"
"604","P14151","Promotes initial tethering and rolling of leukocytes in endothelia "
"605","P14207","Binds to folate and reduced folic acid derivatives and mediates delivery of 5-methyltetrahydrofolate and folate analogs into the interior of cells"
"606","P14207","Has high affinity for folate and folic acid analogs at neutral pH"
"607","P14207","Exposure to slightly acidic pH after receptor endocytosis triggers a conformation change that strongly reduces its affinity for folates and mediates their release"
"608","P14210","Potent mitogen for mature parenchymal hepatocyte cells, seems to be a hepatotrophic factor, and acts as a growth factor for a broad spectrum of tissues and cell types"
"609","P14210","Activating ligand for the receptor tyrosine kinase MET by binding to it and promoting its dimerization"
"610","P14543","Sulfated glycoprotein widely distributed in basement membranes and tightly associated with laminin"
"611","P14543","Also binds to collagen IV and perlecan"
"612","P14543","It probably has a role in cell-extracellular matrix interactions."
"613","P14625","Molecular chaperone that functions in the processing and transport of secreted proteins (By similarity)"
"614","P14625","When associated with CNPY3, required for proper folding of Toll-like receptors (By similarity)"
"615","P14625","Functions in endoplasmic reticulum associated degradation (ERAD) "
"616","P14625","Has ATPase activity (By similarity)"
"617","P14778","Receptor for IL1A, IL1B and IL1RN"
"618","P14778","After binding to interleukin-1 associates with the coreceptor IL1RAP to form the high affinity interleukin-1 receptor complex which mediates interleukin-1-dependent activation of NF-kappa-B, MAPK and other pathways"
"619","P14778","Signaling involves the recruitment of adapter molecules such as TOLLIP, MYD88, and IRAK1 or IRAK2 via the respective TIR domains of the receptor/coreceptor subunits"
"620","P14778","Binds ligands with comparable affinity and binding of antagonist IL1RN prevents association with IL1RAP to form a signaling complex"
"621","P14778","Involved in IL1B-mediated costimulation of IFNG production from T-helper 1 (Th1) cells "
"622","P14780","May play an essential role in local proteolysis of the extracellular matrix and in leukocyte migration"
"623","P14780","Could play a role in bone osteoclastic resorption"
"624","P14780","Cleaves KiSS1 at a Gly-|-Leu bond"
"625","P14780","Cleaves type IV and type V collagen into large C-terminal three quarter fragments and shorter N-terminal one quarter fragments"
"626","P14780","Degrades fibronectin but not laminin or Pz-peptide"
"627","P14784","Receptor for interleukin-2"
"628","P14784","This beta subunit is involved in receptor mediated endocytosis and transduces the mitogenic signals of IL2"
"629","P14784","Probably in association with IL15RA, involved in the stimulation of neutrophil phagocytosis by IL15 "
"630","P15018","LIF has the capacity to induce terminal differentiation in leukemic cells"
"631","P15018","Its activities include the induction of hematopoietic differentiation in normal and myeloid leukemia cells, the induction of neuronal cell differentiation, and the stimulation of acute-phase protein synthesis in hepatocytes."
"632","P15085","Carboxypeptidase that catalyzes the release of a C-terminal amino acid, but has little or no action with -Asp, -Glu, -Arg, -Lys or -Pro"
"633","P15090","Lipid transport protein in adipocytes"
"634","P15090","Binds both long chain fatty acids and retinoic acid"
"635","P15090","Delivers long-chain fatty acids and retinoic acid to their cognate receptors in the nucleus"
"636","P15144","Broad specificity aminopeptidase which plays a role in the final digestion of peptides generated from hydrolysis of proteins by gastric and pancreatic proteases"
"637","P15144","Also involved in the processing of various peptides including peptide hormones, such as angiotensin III and IV, neuropeptides, and chemokines"
"638","P15144","May also be involved the cleavage of peptides bound to major histocompatibility complex class II molecules of antigen presenting cells"
"639","P15144","May have a role in angiogenesis and promote cholesterol crystallization"
"640","P15144","May have a role in amino acid transport by acting as binding partner of amino acid transporter SLC6A19 and regulating its activity (By similarity)"
"641","P15144","In case of human coronavirus 229E (HCoV-229E) infection, serves as receptor for HCoV-229E spike glycoprotein"
"642","P15529","Acts as a cofactor for complement factor I, a serine protease which protects autologous cells against complement-mediated injury by cleaving C3b and C4b deposited on host tissue"
"643","P15529","May be involved in the fusion of the spermatozoa with the oocyte during fertilization"
"644","P15529","Also acts as a costimulatory factor for T-cells which induces the differentiation of CD4+ into T-regulatory 1 cells"
"645","P15529","T-regulatory 1 cells suppress immune responses by secreting interleukin-10, and therefore are thought to prevent autoimmunity"
"646","P15692","Growth factor active in angiogenesis, vasculogenesis and endothelial cell growth"
"647","P15692","Induces endothelial cell proliferation, promotes cell migration, inhibits apoptosis and induces permeabilization of blood vessels"
"648","P15692","Binds to the FLT1/VEGFR1 and KDR/VEGFR2 receptors, heparan sulfate and heparin"
"649","P15692","NRP1/Neuropilin-1 binds isoforms VEGF-165 and VEGF-145"
"650","P15692","Isoform VEGF165B binds to KDR but does not activate downstream signaling pathways, does not activate angiogenesis and inhibits tumor growth"
"651","P15692","Binding to NRP1 receptor initiates a signaling pathway needed for motor neuron axon guidance and cell body migration, including for the caudal migration of facial motor neurons from rhombomere 4 to rhombomere 6 during embryonic development (By similarity)"
"652","P15907","Transfers sialic acid from CMP-sialic acid to galactose-containing acceptor substrates"
"653","P16109","Ca(2+)-dependent receptor for myeloid cells that binds to carbohydrates on neutrophils and monocytes"
"654","P16109","Mediates the interaction of activated endothelial cells or platelets with leukocytes"
"655","P16109","The ligand recognized is sialyl-Lewis X"
"656","P16109","Mediates rapid rolling of leukocyte rolling over vascular surfaces during the initial steps in inflammation through interaction with SELPLG"
"657","P16284","Cell adhesion molecule which is required for leukocyte transendothelial migration (TEM) under most inflammatory conditions "
"658","P16284","Tyr-690 plays a critical role in TEM and is required for efficient trafficking of PECAM1 to and from the lateral border recycling compartment (LBRC) and is also essential for the LBRC membrane to be targeted around migrating leukocytes "
"659","P16284","Trans-homophilic interaction may play a role in endothelial cell-cell adhesion via cell junctions "
"660","P16284","Heterophilic interaction with CD177 plays a role in transendothelial migration of neutrophils "
"661","P16284","Homophilic ligation of PECAM1 prevents macrophage-mediated phagocytosis of neighboring viable leukocytes by transmitting a detachment signal "
"662","P16284","Promotes macrophage-mediated phagocytosis of apoptotic leukocytes by tethering them to the phagocytic cells; PECAM1-mediated detachment signal appears to be disabled in apoptotic leukocytes "
"663","P16284","Modulates bradykinin receptor BDKRB2 activation "
"664","P16284","Regulates bradykinin- and hyperosmotic shock-induced ERK1/2 activation in endothelial cells "
"665","P16284","Induces susceptibility to atherosclerosis (By similarity)"
"666","P16422","May act as a physical homophilic interaction molecule between intestinal epithelial cells (IECs) and intraepithelial lymphocytes (IELs) at the mucosal epithelium for providing immunological barrier as a first line of defense against mucosal infection"
"667","P16422","Plays a role in embryonic stem cells proliferation and differentiation"
"668","P16422","Up-regulates the expression of FABP5, MYC and cyclins A and E"
"669","P16444","Hydrolyzes a wide range of dipeptides"
"670","P16444","Implicated in the renal metabolism of glutathione and its conjugates"
"671","P16444","Converts leukotriene D4 to leukotriene E4; it may play an important role in the regulation of leukotriene activity."
"672","P16581","Cell-surface glycoprotein having a role in immunoadhesion"
"673","P16581","Mediates in the adhesion of blood neutrophils in cytokine-activated endothelium through interaction with SELPLG/PSGL1"
"674","P16581","May have a role in capillary morphogenesis"
"675","P16871","Receptor for interleukin-7"
"676","P16871","Also acts as a receptor for thymic stromal lymphopoietin (TSLP)."
"677","P17813","Vascular endothelium glycoprotein that plays an important role in the regulation of angiogenesis "
"678","P17813","Required for normal structure and integrity of adult vasculature "
"679","P17813","Regulates the migration of vascular endothelial cells "
"680","P17813","Required for normal extraembryonic angiogenesis and for embryonic heart development (By similarity)"
"681","P17813","May regulate endothelial cell shape changes in response to blood flow, which drive vascular remodeling and establishment of normal vascular morphology during angiogenesis (By similarity)"
"682","P17813","May play a critical role in the binding of endothelial cells to integrins and/or other RGD receptors "
"683","P17813","Acts as TGF-beta coreceptor and is involved in the TGF-beta/BMP signaling cascade that ultimately leads to the activation of SMAD transcription factors "
"684","P17813","Required for GDF2/BMP9 signaling through SMAD1 in endothelial cells and modulates TGFB1 signaling through SMAD3 "
"685","P17931","Galactose-specific lectin which binds IgE"
"686","P17931","May mediate with the alpha-3, beta-1 integrin the stimulation by CSPG4 of endothelial cells migration"
"687","P17931","Together with DMBT1, required for terminal differentiation of columnar epithelial cells during early embryogenesis (By similarity)"
"688","P17931","In the nucleus: acts as a pre-mRNA splicing factor"
"689","P17931","Involved in acute inflammatory responses including neutrophil activation and adhesion, chemoattraction of monocytes macrophages, opsonization of apoptotic neutrophils, and activation of mast cells"
"690","P17931","Together with TRIM16, coordinates the recognition of membrane damage with mobilization of the core autophagy regulators ATG16L1 and BECN1 in response to damaged endomembranes"
"691","P17936","IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture"
"692","P17936","They alter the interaction of IGFs with their cell surface receptors"
"693","P17936","Also exhibits IGF-independent antiproliferative and apoptotic effects mediated by its receptor TMEM219/IGFBP-3R"
"694","P18031","Tyrosine-protein phosphatase which acts as a regulator of endoplasmic reticulum unfolded protein response"
"695","P18031","Mediates dephosphorylation of EIF2AK3/PERK; inactivating the protein kinase activity of EIF2AK3/PERK"
"696","P18031","May play an important role in CKII- and p60c-src-induced signal transduction cascades"
"697","P18031","May regulate the EFNA5-EPHA3 signaling pathway which modulates cell reorganization and cell-cell repulsion"
"698","P18031","May also regulate the hepatocyte growth factor receptor signaling pathway through dephosphorylation of MET"
"699","P18065","Inhibits IGF-mediated growth and developmental rates"
"700","P18065","IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture"
"701","P18065","They alter the interaction of IGFs with their cell surface receptors"
"702","P19021","Bifunctional enzyme that catalyzes the post-translational modification of inactive peptidylglycine precursors to the corresponding bioactive alpha-amidated peptides, a terminal modification in biosynthesis of many neural and endocrine peptides "
"703","P19021","Alpha-amidation involves two sequential reactions, both of which are catalyzed by separate catalytic domains of the enzyme"
"704","P19021","The first step, catalyzed by peptidyl alpha-hydroxylating monoxygenase (PHM) domain, is the copper-, ascorbate-, and O2- dependent stereospecific hydroxylation (with S stereochemistry) at the alpha-carbon (C-alpha) of the C-terminal glycine of the peptidylglycine substrate "
"705","P19021","The second step, catalyzed by the peptidylglycine amidoglycolate lyase (PAL) domain, is the zinc-dependent cleavage of the N-C-alpha bond, producing the alpha-amidated peptide and glyoxylate "
"706","P19021","Similarly, catalyzes the two-step conversion of an N-fatty acylglycine to a primary fatty acid amide and glyoxylate (By similarity)"
"707","P19320","Important in cell-cell recognition"
"708","P19320","Appears to function in leukocyte-endothelial cell adhesion"
"709","P19320","Interacts with integrin alpha-4/beta-1 (ITGA4/ITGB1) on leukocytes, and mediates both adhesion and signal transduction"
"710","P19320","The VCAM1/ITGA4/ITGB1 interaction may play a pathophysiologic role both in immune responses and in leukocyte emigration to sites of inflammation."
"711","P19438","Receptor for TNFSF2/TNF-alpha and homotrimeric TNFSF1/lymphotoxin-alpha"
"712","P19438","The adapter molecule FADD recruits caspase-8 to the activated receptor"
"713","P19438","The resulting death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis"
"714","P19438","Contributes to the induction of non-cytocidal TNF effects including anti-viral state and activation of the acid sphingomyelinase."
"715","P19801","Catalyzes the degradation of compounds such as putrescine, histamine, spermine, and spermidine, substances involved in allergic and immune responses, cell proliferation, tissue differentiation, tumor formation, and possibly apoptosis"
"716","P19801","Placental DAO is thought to play a role in the regulation of the female reproductive function."
"717","P19957","Neutrophil and pancreatic elastase-specific inhibitor of skin"
"718","P19957","It may prevent elastase-mediated tissue proteolysis"
"719","P19957","Has been shown to inhibit the alpha-4-beta-2/CHRNA2-CHRNB2 nicotinic acetylcholine receptor and to produce a weak inhibition on Kv11.1/KCNH2/ERG1 and on the transient receptor potential cation channel subfamily V member 1 (TRPV1) "
"720","P20023","Receptor for complement C3, for the Epstein-Barr virus on human B-cells and T-cells and for HNRNPU "
"721","P20023","Participates in B lymphocytes activation "
"722","P20062","Primary vitamin B12-binding and transport protein"
"723","P20062","Delivers cobalamin to cells"
"724","P20138","Sialic-acid-binding immunoglobulin-like lectin (Siglec) that plays a role in mediating cell-cell interactions and in maintaining immune cells in a resting state "
"725","P20138","Preferentially recognizes and binds alpha-2,3- and more avidly alpha-2,6-linked sialic acid-bearing glycans "
"726","P20138","Upon engagement of ligands such as C1q or syalylated glycoproteins, two immunoreceptor tyrosine-based inhibitory motifs (ITIMs) located in CD33 cytoplasmic tail are phosphorylated by Src-like kinases such as LCK "
"727","P20138","These phosphorylations provide docking sites for the recruitment and activation of protein-tyrosine phosphatases PTPN6/SHP-1 and PTPN11/SHP-2 "
"728","P20138","In turn, these phosphatases regulate downstream pathways through dephosphorylation of signaling molecules "
"729","P20138","One of the repressive effect of CD33 on monocyte activation requires phosphoinositide 3-kinase/PI3K "
"730","P20160","This is a neutrophil granule-derived antibacterial and monocyte- and fibroblast-specific chemotactic glycoprotein"
"731","P20160","Binds heparin"
"732","P20160","The cytotoxic action is limited to many species of Gram-negative bacteria; this specificity may be explained by a strong affinity of the very basic N-terminal half for the negatively charged lipopolysaccharides that are unique to the Gram-negative bacterial outer envelope"
"733","P20160","It may play a role in mediating recruitment of monocytes in the second wave of inflammation"
"734","P20160","Has antibacterial activity against the Gram-negative bacterium P.aeruginosa, this activity is inhibited by LPS from P.aeruginosa"
