"","UniProt_ID","Biological_process","GO_ID"
"2035","P05451","protein homotetramerization","GO:0051289"
"2036","P05451","response to acetylsalicylate","GO:1903492"
"2037","P05451","response to growth hormone-releasing hormone","GO:1990864"
"2038","P05451","response to hypoxia","GO:0001666"
"2039","P05451","response to nutrient levels","GO:0031667"
"2040","P05451","response to peptide hormone","GO:0043434"
"2041","P05451","response to water-immersion restraint stress","GO:1990785"
"2042","P05451","wound healing","GO:0042060"
"2043","P05543","negative regulation of endopeptidase activity","GO:0010951"
"2044","P05543","thyroid hormone transport","GO:0070327"
"2045","P06127","apoptotic signaling pathway","GO:0097190"
"2046","P06127","cell population proliferation","GO:0008283"
"2047","P06127","cell recognition","GO:0008037"
"2048","P06127","T cell costimulation","GO:0031295"
"2049","P06681","complement activation","GO:0006956"
"2050","P06681","complement activation, classical pathway","GO:0006958"
"2051","P06681","innate immune response","GO:0045087"
"2052","P06681","positive regulation of apoptotic cell clearance","GO:2000427"
"2053","P06681","regulation of complement activation","GO:0030449"
"2054","P06681","response to nutrient","GO:0007584"
"2055","P06748","cell aging","GO:0007569"
"2056","P06748","cellular response to UV","GO:0034644"
"2057","P06748","cell volume homeostasis","GO:0006884"
"2058","P06748","CENP-A containing nucleosome assembly","GO:0034080"
"2059","P06748","centrosome cycle","GO:0007098"
"2060","P06748","chromatin remodeling","GO:0006338"
"2061","P06748","DNA repair","GO:0006281"
"2062","P06748","intracellular protein transport","GO:0006886"
"2063","P06748","negative regulation of apoptotic process","GO:0043066"
"2064","P06748","negative regulation of cell population proliferation","GO:0008285"
"2065","P06748","negative regulation of centrosome duplication","GO:0010826"
"2066","P06748","negative regulation of mRNA splicing, via spliceosome","GO:0048025"
"2067","P06748","negative regulation of protein kinase activity by regulation of protein phosphorylation","GO:0044387"
"2068","P06748","nucleocytoplasmic transport","GO:0006913"
"2069","P06748","nucleosome assembly","GO:0006334"
"2070","P06748","positive regulation of cell cycle G2/M phase transition","GO:1902751"
"2071","P06748","positive regulation of cell population proliferation","GO:0008284"
"2072","P06748","positive regulation of centrosome duplication","GO:0010825"
"2073","P06748","positive regulation of NF-kappaB transcription factor activity","GO:0051092"
"2074","P06748","positive regulation of protein kinase activity","GO:0045860"
"2075","P06748","positive regulation of protein localization to nucleolus","GO:1904751"
"2076","P06748","positive regulation of protein ubiquitination","GO:0031398"
"2077","P06748","positive regulation of transcription, DNA-templated","GO:0045893"
"2078","P06748","positive regulation of transcription by RNA polymerase II","GO:0045944"
"2079","P06748","positive regulation of translation","GO:0045727"
"2080","P06748","protein localization","GO:0008104"
"2081","P06748","protein stabilization","GO:0050821"
"2082","P06748","regulation of cell growth","GO:0001558"
"2083","P06748","regulation of centriole replication","GO:0046599"
"2084","P06748","regulation of centrosome duplication","GO:0010824"
"2085","P06748","regulation of DNA damage response, signal transduction by p53 class mediator","GO:0043516"
"2086","P06748","regulation of eIF2 alpha phosphorylation by dsRNA","GO:0060735"
"2087","P06748","regulation of endodeoxyribonuclease activity","GO:0032071"
"2088","P06748","regulation of endoribonuclease activity","GO:0060699"
"2089","P06748","regulation of mRNA stability involved in cellular response to UV","GO:1902629"
"2090","P06748","regulation of transcription by RNA polymerase II","GO:0006357"
"2091","P06748","ribosomal large subunit biogenesis","GO:0042273"
"2092","P06748","ribosomal large subunit export from nucleus","GO:0000055"
"2093","P06748","ribosomal small subunit biogenesis","GO:0042274"
"2094","P06748","ribosomal small subunit export from nucleus","GO:0000056"
"2095","P06748","ribosome assembly","GO:0042255"
"2096","P06748","rRNA export from nucleus","GO:0006407"
"2097","P06748","signal transduction","GO:0007165"
"2098","P06748","viral process","GO:0016032"
"2099","P07196","anterograde axonal transport","GO:0008089"
"2100","P07196","axonal transport of mitochondrion","GO:0019896"
"2101","P07196","cerebral cortex development","GO:0021987"
"2102","P07196","hippocampus development","GO:0021766"
"2103","P07196","intermediate filament organization","GO:0045109"
"2104","P07196","intermediate filament polymerization or depolymerization","GO:0045105"
"2105","P07196","locomotion","GO:0040011"
"2106","P07196","MAPK cascade","GO:0000165"
"2107","P07196","microtubule cytoskeleton organization","GO:0000226"
"2108","P07196","negative regulation of neuron apoptotic process","GO:0043524"
"2109","P07196","neurofilament bundle assembly","GO:0033693"
"2110","P07196","neurofilament cytoskeleton organization","GO:0060052"
"2111","P07196","neuromuscular process controlling balance","GO:0050885"
"2112","P07196","neuron projection morphogenesis","GO:0048812"
"2113","P07196","peripheral nervous system axon regeneration","GO:0014012"
"2114","P07196","positive regulation of axonogenesis","GO:0050772"
"2115","P07196","protein polymerization","GO:0051258"
"2116","P07196","regulation of axon diameter","GO:0031133"
"2117","P07196","regulation of NMDA receptor activity","GO:2000310"
"2118","P07196","response to acrylamide","GO:1903937"
"2119","P07196","response to corticosterone","GO:0051412"
"2120","P07196","response to peptide hormone","GO:0043434"
"2121","P07196","response to sodium arsenite","GO:1903935"
"2122","P07196","retrograde axonal transport","GO:0008090"
"2123","P07196","spinal cord development","GO:0021510"
"2124","P07196","synapse maturation","GO:0060074"
"2125","P07306","cellular response to extracellular stimulus","GO:0031668"
"2126","P07306","protein N-linked glycosylation via asparagine","GO:0018279"
"2127","P07306","receptor-mediated endocytosis","GO:0006898"
"2128","P07306","viral process","GO:0016032"
"2129","P07339","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886"
"2130","P07339","collagen catabolic process","GO:0030574"
"2131","P07339","lipoprotein catabolic process","GO:0042159"
"2132","P07339","neutrophil degranulation","GO:0043312"
"2133","P07339","positive regulation of apoptotic process","GO:0043065"
"2134","P07339","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","GO:0043280"
"2135","P07339","protein catabolic process","GO:0030163"
"2136","P07339","proteolysis","GO:0006508"
"2137","P07339","regulation of establishment of protein localization","GO:0070201"
"2138","P07359","blood coagulation","GO:0007596"
"2139","P07359","blood coagulation, intrinsic pathway","GO:0007597"
"2140","P07359","cell adhesion","GO:0007155"
"2141","P07359","cell morphogenesis","GO:0000902"
"2142","P07359","cell surface receptor signaling pathway","GO:0007166"
"2143","P07359","fibrinolysis","GO:0042730"
"2144","P07359","platelet activation","GO:0030168"
"2145","P07359","platelet aggregation","GO:0070527"
"2146","P07359","regulation of blood coagulation","GO:0030193"
"2147","P07359","regulation of megakaryocyte differentiation","GO:0045652"
"2148","P07451","bicarbonate transport","GO:0015701"
"2149","P07451","response to bacterium","GO:0009617"
"2150","P07451","response to ethanol","GO:0045471"
"2151","P07451","response to oxidative stress","GO:0006979"
"2152","P07478","antimicrobial humoral response","GO:0019730"
"2153","P07478","collagen catabolic process","GO:0030574"
"2154","P07478","digestion","GO:0007586"
"2155","P07478","extracellular matrix disassembly","GO:0022617"
"2156","P07478","neutrophil degranulation","GO:0043312"
"2157","P07478","positive regulation of cell adhesion","GO:0045785"
"2158","P07478","positive regulation of cell growth","GO:0030307"
"2159","P07478","proteolysis","GO:0006508"
"2160","P07585","aging","GO:0007568"
"2161","P07585","animal organ morphogenesis","GO:0009887"
"2162","P07585","chondroitin sulfate biosynthetic process","GO:0030206"
"2163","P07585","chondroitin sulfate catabolic process","GO:0030207"
"2164","P07585","dermatan sulfate biosynthetic process","GO:0030208"
"2165","P07585","extracellular matrix organization","GO:0030198"
"2166","P07585","kidney development","GO:0001822"
"2167","P07585","negative regulation of angiogenesis","GO:0016525"
"2168","P07585","negative regulation of endothelial cell migration","GO:0010596"
"2169","P07585","negative regulation of vascular endothelial growth factor signaling pathway","GO:1900747"
"2170","P07585","peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan","GO:0019800"
"2171","P07585","placenta development","GO:0001890"
"2172","P07585","positive regulation of autophagy","GO:0010508"
"2173","P07585","positive regulation of macroautophagy","GO:0016239"
"2174","P07585","positive regulation of mitochondrial depolarization","GO:0051901"
"2175","P07585","positive regulation of mitochondrial fission","GO:0090141"
"2176","P07585","positive regulation of phosphatidylinositol 3-kinase signaling","GO:0014068"
"2177","P07585","positive regulation of transcription by RNA polymerase II","GO:0045944"
"2178","P07585","response to lipopolysaccharide","GO:0032496"
"2179","P07585","response to mechanical stimulus","GO:0009612"
"2180","P07585","skeletal muscle tissue development","GO:0007519"
"2181","P07585","wound healing","GO:0042060"
"2182","P07911","cellular defense response","GO:0006968"
"2183","P07911","excretion","GO:0007588"
"2184","P07911","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","GO:0007157"
"2185","P07911","ion homeostasis","GO:0050801"
"2186","P07911","leukocyte cell-cell adhesion","GO:0007159"
"2187","P07911","metanephric ascending thin limb development","GO:0072218"
"2188","P07911","metanephric distal convoluted tubule development","GO:0072221"
"2189","P07911","metanephric thick ascending limb development","GO:0072233"
"2190","P07911","negative regulation of cell population proliferation","GO:0008285"
"2191","P07911","neutrophil migration","GO:1990266"
"2192","P08253","angiogenesis","GO:0001525"
"2193","P08253","blood vessel maturation","GO:0001955"
"2194","P08253","bone trabecula formation","GO:0060346"
"2195","P08253","cellular protein metabolic process","GO:0044267"
"2196","P08253","cellular response to amino acid stimulus","GO:0071230"
"2197","P08253","cellular response to reactive oxygen species","GO:0034614"
"2198","P08253","collagen catabolic process","GO:0030574"
"2199","P08253","cytokine-mediated signaling pathway","GO:0019221"
"2200","P08253","embryo implantation","GO:0007566"
"2201","P08253","endodermal cell differentiation","GO:0035987"
"2202","P08253","ephrin receptor signaling pathway","GO:0048013"
"2203","P08253","extracellular matrix disassembly","GO:0022617"
"2204","P08253","extracellular matrix organization","GO:0030198"
"2205","P08253","face morphogenesis","GO:0060325"
"2206","P08253","intramembranous ossification","GO:0001957"
"2207","P08253","positive regulation of vascular smooth muscle cell proliferation","GO:1904707"
"2208","P08253","proteolysis","GO:0006508"
"2209","P08253","response to amyloid-beta","GO:1904645"
"2210","P08253","response to hypoxia","GO:0001666"
"2211","P08253","tissue remodeling","GO:0048771"
"2212","P08254","cellular response to nitric oxide","GO:0071732"
"2213","P08254","collagen catabolic process","GO:0030574"
"2214","P08254","cytokine-mediated signaling pathway","GO:0019221"
"2215","P08254","extracellular matrix disassembly","GO:0022617"
"2216","P08254","extracellular matrix organization","GO:0030198"
"2217","P08254","negative regulation of hydrogen peroxide metabolic process","GO:0010727"
"2218","P08254","positive regulation of oxidative stress-induced cell death","GO:1903209"
"2219","P08254","positive regulation of protein complex assembly","GO:0031334"
"2220","P08254","proteolysis","GO:0006508"
"2221","P08254","regulation of neuroinflammatory response","GO:0150077"
"2222","P08254","response to amyloid-beta","GO:1904645"
"2223","P08581","branching morphogenesis of an epithelial tube","GO:0048754"
"2224","P08581","cell surface receptor signaling pathway","GO:0007166"
"2225","P08581","endothelial cell morphogenesis","GO:0001886"
"2226","P08581","entry of bacterium into host cell","GO:0035635"
"2227","P08581","establishment of skin barrier","GO:0061436"
"2228","P08581","liver development","GO:0001889"
"2229","P08581","MAPK cascade","GO:0000165"
"2230","P08581","negative regulation of autophagy","GO:0010507"
"2231","P08581","negative regulation of guanyl-nucleotide exchange factor activity","GO:1905098"
"2232","P08581","negative regulation of hydrogen peroxide-mediated programmed cell death","GO:1901299"
"2233","P08581","negative regulation of Rho protein signal transduction","GO:0035024"
"2234","P08581","negative regulation of stress fiber assembly","GO:0051497"
"2235","P08581","negative regulation of thrombin-activated receptor signaling pathway","GO:0070495"
"2236","P08581","neuron differentiation","GO:0030182"
"2237","P08581","pancreas development","GO:0031016"
"2238","P08581","positive chemotaxis","GO:0050918"
"2239","P08581","positive regulation of endothelial cell chemotaxis","GO:2001028"
"2240","P08581","positive regulation of microtubule polymerization","GO:0031116"
"2241","P08581","positive regulation of protein kinase B signaling","GO:0051897"
"2242","P08581","positive regulation of transcription by RNA polymerase II","GO:0045944"
"2243","P08581","semaphorin-plexin signaling pathway","GO:0071526"
"2244","P08581","signal transduction","GO:0007165"
"2245","P08581","transmembrane receptor protein tyrosine kinase signaling pathway","GO:0007169"
"2246","P08709","animal organ regeneration","GO:0031100"
"2247","P08709","blood coagulation","GO:0007596"
"2248","P08709","blood coagulation, extrinsic pathway","GO:0007598"
"2249","P08709","circadian rhythm","GO:0007623"
"2250","P08709","endoplasmic reticulum to Golgi vesicle-mediated transport","GO:0006888"
"2251","P08709","positive regulation of blood coagulation","GO:0030194"
"2252","P08709","positive regulation of cell migration","GO:0030335"
"2253","P08709","positive regulation of leukocyte chemotaxis","GO:0002690"
"2254","P08709","positive regulation of platelet-derived growth factor receptor signaling pathway","GO:0010641"
"2255","P08709","positive regulation of positive chemotaxis","GO:0050927"
"2256","P08709","positive regulation of protein kinase B signaling","GO:0051897"
"2257","P08709","protein processing","GO:0016485"
"2258","P08709","response to 2,3,7,8-tetrachlorodibenzodioxine","GO:1904612"
"2259","P08709","response to astaxanthin","GO:1905217"
"2260","P08709","response to carbon dioxide","GO:0010037"
"2261","P08709","response to cholesterol","GO:0070723"
"2262","P08709","response to estradiol","GO:0032355"
"2263","P08709","response to estrogen","GO:0043627"
"2264","P08709","response to genistein","GO:0033595"
"2265","P08709","response to growth hormone","GO:0060416"
"2266","P08709","response to hypoxia","GO:0001666"
"2267","P08709","response to Thyroid stimulating hormone","GO:1904400"
"2268","P08709","response to thyrotropin-releasing hormone","GO:1905225"
"2269","P08709","response to thyroxine","GO:0097068"
"2270","P08709","response to vitamin K","GO:0032571"
"2271","P08833","aging","GO:0007568"
"2272","P08833","cellular protein metabolic process","GO:0044267"
"2273","P08833","insulin receptor signaling pathway","GO:0008286"
"2274","P08833","negative regulation of canonical Wnt signaling pathway","GO:0090090"
"2275","P08833","PERK-mediated unfolded protein response","GO:0036499"
"2276","P08833","positive regulation of cell growth","GO:0030307"
"2277","P08833","post-translational protein modification","GO:0043687"
"2278","P08833","regulation of insulin-like growth factor receptor signaling pathway","GO:0043567"
"2279","P08833","signal transduction","GO:0007165"
"2280","P08833","tissue regeneration","GO:0042246"
"2281","P08887","acute-phase response","GO:0006953"
"2282","P08887","ciliary neurotrophic factor-mediated signaling pathway","GO:0070120"
"2283","P08887","cytokine-mediated signaling pathway","GO:0019221"
"2284","P08887","defense response to Gram-negative bacterium","GO:0050829"
"2285","P08887","defense response to Gram-positive bacterium","GO:0050830"
"2286","P08887","endocrine pancreas development","GO:0031018"
"2287","P08887","extrinsic apoptotic signaling pathway","GO:0097191"
"2288","P08887","hepatic immune response","GO:0002384"
"2289","P08887","interleukin-6-mediated signaling pathway","GO:0070102"
"2290","P08887","monocyte chemotaxis","GO:0002548"
"2291","P08887","negative regulation of collagen biosynthetic process","GO:0032966"
"2292","P08887","negative regulation of interleukin-8 production","GO:0032717"
"2293","P08887","neutrophil mediated immunity","GO:0002446"
"2294","P08887","positive regulation of activation of Janus kinase activity","GO:0010536"
"2295","P08887","positive regulation of cell population proliferation","GO:0008284"
"2296","P08887","positive regulation of chemokine production","GO:0032722"
"2297","P08887","positive regulation of glomerular mesangial cell proliferation","GO:0072126"
"2298","P08887","positive regulation of interleukin-6 production","GO:0032755"
"2299","P08887","positive regulation of leukocyte chemotaxis","GO:0002690"
"2300","P08887","positive regulation of MAPK cascade","GO:0043410"
"2301","P08887","positive regulation of osteoblast differentiation","GO:0045669"
"2302","P08887","positive regulation of peptidyl-tyrosine phosphorylation","GO:0050731"
"2303","P08887","positive regulation of smooth muscle cell proliferation","GO:0048661"
"2304","P08887","positive regulation of tyrosine phosphorylation of STAT protein","GO:0042531"
"2305","P08887","response to cytokine","GO:0034097"
"2306","P08962","cell-matrix adhesion","GO:0007160"
"2307","P08962","cell migration","GO:0016477"
"2308","P08962","cellular protein localization","GO:0034613"
"2309","P08962","endosome to melanosome transport","GO:0035646"
"2310","P08962","neutrophil degranulation","GO:0043312"
"2311","P08962","pigment granule maturation","GO:0048757"
"2312","P08962","platelet degranulation","GO:0002576"
"2313","P08962","positive regulation of integrin-mediated signaling pathway","GO:2001046"
"2314","P08962","positive regulation of receptor internalization","GO:0002092"
"2315","P08962","protein transport","GO:0015031"
"2316","P08962","regulation of potassium ion transmembrane transport","GO:1901379"
"2317","P08962","regulation of vascular endothelial growth factor signaling pathway","GO:1900746"
"2318","P09038","activation of MAPK activity","GO:0000187"
"2319","P09038","animal organ morphogenesis","GO:0009887"
"2320","P09038","branching involved in ureteric bud morphogenesis","GO:0001658"
"2321","P09038","cell migration involved in sprouting angiogenesis","GO:0002042"
"2322","P09038","chemotaxis","GO:0006935"
"2323","P09038","chondroblast differentiation","GO:0060591"
"2324","P09038","cytokine-mediated signaling pathway","GO:0019221"
"2325","P09038","embryonic morphogenesis","GO:0048598"
"2326","P09038","extracellular matrix organization","GO:0030198"
"2327","P09038","fibroblast growth factor receptor signaling pathway","GO:0008543"
"2328","P09038","growth factor dependent regulation of skeletal muscle satellite cell proliferation","GO:0014843"
"2329","P09038","hyaluronan catabolic process","GO:0030214"
"2330","P09038","inositol phosphate biosynthetic process","GO:0032958"
"2331","P09038","MAPK cascade","GO:0000165"
"2332","P09038","negative regulation of blood vessel endothelial cell migration","GO:0043537"
"2333","P09038","negative regulation of cell death","GO:0060548"
"2334","P09038","negative regulation of fibroblast migration","GO:0010764"
"2335","P09038","negative regulation of wound healing","GO:0061045"
"2336","P09038","nervous system development","GO:0007399"
"2337","P09038","paracrine signaling","GO:0038001"
"2338","P09038","phosphatidylinositol biosynthetic process","GO:0006661"
"2339","P09038","positive regulation of angiogenesis","GO:0045766"
"2340","P09038","positive regulation of blood vessel endothelial cell migration","GO:0043536"
"2341","P09038","positive regulation of cardiac muscle cell proliferation","GO:0060045"
"2342","P09038","positive regulation of cell division","GO:0051781"
"2343","P09038","positive regulation of cell fate specification","GO:0042660"
"2344","P09038","positive regulation of cell migration involved in sprouting angiogenesis","GO:0090050"
"2345","P09038","positive regulation of cell population proliferation","GO:0008284"
"2346","P09038","positive regulation of DNA biosynthetic process","GO:2000573"
"2347","P09038","positive regulation of endothelial cell chemotaxis","GO:2001028"
"2348","P09038","positive regulation of endothelial cell chemotaxis to fibroblast growth factor","GO:2000546"
"2349","P09038","positive regulation of endothelial cell proliferation","GO:0001938"
"2350","P09038","positive regulation of ERK1 and ERK2 cascade","GO:0070374"
"2351","P09038","positive regulation of MAP kinase activity","GO:0043406"
"2352","P09038","positive regulation of phosphatidylinositol 3-kinase activity","GO:0043552"
"2353","P09038","positive regulation of phospholipase C activity","GO:0010863"
"2354","P09038","positive regulation of protein kinase B signaling","GO:0051897"
"2355","P09038","positive regulation of sprouting angiogenesis","GO:1903672"
"2356","P09038","positive regulation of transcription, DNA-templated","GO:0045893"
"2357","P09038","positive regulation of transcription by RNA polymerase II","GO:0045944"
"2358","P09038","positive regulation of vascular endothelial cell proliferation","GO:1905564"
"2359","P09038","positive regulation of vascular smooth muscle cell proliferation","GO:1904707"
"2360","P09038","Ras protein signal transduction","GO:0007265"
"2361","P09038","regulation of angiogenesis","GO:0045765"
"2362","P09038","regulation of endothelial cell chemotaxis to fibroblast growth factor","GO:2000544"
"2363","P09038","release of sequestered calcium ion into cytosol","GO:0051209"
"2364","P09038","signal transduction","GO:0007165"
"2365","P09038","somatic stem cell population maintenance","GO:0035019"
"2366","P09038","stem cell proliferation","GO:0072089"
"2367","P09038","wound healing","GO:0042060"
"2368","P09211","animal organ regeneration","GO:0031100"
"2369","P09211","cellular response to cell-matrix adhesion","GO:0071460"
"2370","P09211","cellular response to epidermal growth factor stimulus","GO:0071364"
"2371","P09211","cellular response to glucocorticoid stimulus","GO:0071385"
"2372","P09211","cellular response to insulin stimulus","GO:0032869"
"2373","P09211","cellular response to lipopolysaccharide","GO:0071222"
"2374","P09211","cellular response to oxidative stress","GO:0034599"
"2375","P09211","central nervous system development","GO:0007417"
"2376","P09211","common myeloid progenitor cell proliferation","GO:0035726"
"2377","P09211","glutathione derivative biosynthetic process","GO:1901687"
"2378","P09211","glutathione metabolic process","GO:0006749"
"2379","P09211","linoleic acid metabolic process","GO:0043651"
"2380","P09211","negative regulation of acute inflammatory response","GO:0002674"
"2381","P09211","negative regulation of apoptotic process","GO:0043066"
"2382","P09211","negative regulation of biosynthetic process","GO:0009890"
"2383","P09211","negative regulation of ERK1 and ERK2 cascade","GO:0070373"
"2384","P09211","negative regulation of extrinsic apoptotic signaling pathway","GO:2001237"
"2385","P09211","negative regulation of fibroblast proliferation","GO:0048147"
"2386","P09211","negative regulation of I-kappaB kinase/NF-kappaB signaling","GO:0043124"
"2387","P09211","negative regulation of interleukin-1 beta production","GO:0032691"
"2388","P09211","negative regulation of JUN kinase activity","GO:0043508"
"2389","P09211","negative regulation of leukocyte proliferation","GO:0070664"
"2390","P09211","negative regulation of MAPK cascade","GO:0043409"
"2391","P09211","negative regulation of MAP kinase activity","GO:0043407"
"2392","P09211","negative regulation of monocyte chemotactic protein-1 production","GO:0071638"
"2393","P09211","negative regulation of nitric-oxide synthase biosynthetic process","GO:0051771"
"2394","P09211","negative regulation of protein kinase activity","GO:0006469"
"2395","P09211","negative regulation of smooth muscle cell chemotaxis","GO:0071672"
"2396","P09211","negative regulation of stress-activated MAPK cascade","GO:0032873"
"2397","P09211","negative regulation of tumor necrosis factor-mediated signaling pathway","GO:0010804"
"2398","P09211","negative regulation of tumor necrosis factor production","GO:0032720"
"2399","P09211","negative regulation of vascular smooth muscle cell proliferation","GO:1904706"
"2400","P09211","neutrophil degranulation","GO:0043312"
"2401","P09211","nitric oxide storage","GO:0035732"
"2402","P09211","oligodendrocyte development","GO:0014003"
"2403","P09211","positive regulation of superoxide anion generation","GO:0032930"
"2404","P09211","regulation of ERK1 and ERK2 cascade","GO:0070372"
"2405","P09211","regulation of stress-activated MAPK cascade","GO:0032872"
"2406","P09211","response to amino acid","GO:0043200"
"2407","P09211","response to estradiol","GO:0032355"
"2408","P09211","response to ethanol","GO:0045471"
"2409","P09211","response to L-ascorbic acid","GO:0033591"
"2410","P09211","response to reactive oxygen species","GO:0000302"
"2411","P09211","xenobiotic metabolic process","GO:0006805"
"2412","P09237","aging","GO:0007568"
"2413","P09237","cellular response to mechanical stimulus","GO:0071260"
"2414","P09237","collagen catabolic process","GO:0030574"
"2415","P09237","estrous cycle","GO:0044849"
"2416","P09237","extracellular matrix disassembly","GO:0022617"
"2417","P09237","extracellular matrix organization","GO:0030198"
"2418","P09237","maternal process involved in female pregnancy","GO:0060135"
"2419","P09237","proteolysis","GO:0006508"
"2420","P09237","response to nutrient levels","GO:0031667"
"2421","P09238","collagen catabolic process","GO:0030574"
"2422","P09238","extracellular matrix disassembly","GO:0022617"
"2423","P09238","extracellular matrix organization","GO:0030198"
"2424","P09238","proteolysis","GO:0006508"
"2425","P09341","actin cytoskeleton organization","GO:0030036"
"2426","P09341","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844"
"2427","P09341","cellular response to lipopolysaccharide","GO:0071222"
"2428","P09341","chemokine-mediated signaling pathway","GO:0070098"
"2429","P09341","chemotaxis","GO:0006935"
"2430","P09341","cytokine-mediated signaling pathway","GO:0019221"
"2431","P09341","G protein-coupled receptor signaling pathway","GO:0007186"
"2432","P09341","immune response","GO:0006955"
"2433","P09341","inflammatory response","GO:0006954"
"2434","P09341","intracellular signal transduction","GO:0035556"
"2435","P09341","killing of cells of other organism","GO:0031640"
"2436","P09341","leukocyte chemotaxis","GO:0030595"
"2437","P09341","negative regulation of cell population proliferation","GO:0008285"
"2438","P09341","nervous system development","GO:0007399"
"2439","P09341","neutrophil chemotaxis","GO:0030593"
"2440","P09341","neutrophil degranulation","GO:0043312"
"2441","P09341","signal transduction","GO:0007165"
"2442","P09382","apoptotic process","GO:0006915"
"2443","P09382","cellular protein metabolic process","GO:0044267"
"2444","P09382","cellular response to glucose stimulus","GO:0071333"
"2445","P09382","cellular response to organic cyclic compound","GO:0071407"
"2446","P09382","myoblast differentiation","GO:0045445"
"2447","P09382","negative regulation of cell-substrate adhesion","GO:0010812"
"2448","P09382","negative regulation of neuron projection development","GO:0010977"
"2449","P09382","plasma cell differentiation","GO:0002317"
"2450","P09382","positive regulation of erythrocyte aggregation","GO:0034120"
"2451","P09382","positive regulation of I-kappaB kinase/NF-kappaB signaling","GO:0043123"
"2452","P09382","positive regulation of viral entry into host cell","GO:0046598"
"2453","P09382","post-translational protein modification","GO:0043687"
"2454","P09382","regulation of apoptotic process","GO:0042981"
"2455","P09382","response to axon injury","GO:0048678"
"2456","P09382","response to drug","GO:0042493"
"2457","P09382","response to isolation stress","GO:0035900"
"2458","P09382","T cell costimulation","GO:0031295"
"2459","P09466","apoptotic process","GO:0006915"
"2460","P09466","multicellular organism development","GO:0007275"
"2461","P09466","negative regulation of sperm capacitation","GO:1902491"
"2462","P09466","positive regulation of granulocyte macrophage colony-stimulating factor production","GO:0032725"
"2463","P09466","positive regulation of interleukin-13 secretion","GO:2000667"
"2464","P09466","positive regulation of interleukin-6 secretion","GO:2000778"
"2465","P09466","regulation of binding of sperm to zona pellucida","GO:2000359"
"2466","P09601","angiogenesis","GO:0001525"
"2467","P09601","cell death","GO:0008219"
"2468","P09601","cellular iron ion homeostasis","GO:0006879"
"2469","P09601","cellular response to arsenic-containing substance","GO:0071243"
"2470","P09601","cellular response to cadmium ion","GO:0071276"
"2471","P09601","cellular response to cisplatin","GO:0072719"
"2472","P09601","cellular response to heat","GO:0034605"
"2473","P09601","cellular response to hypoxia","GO:0071456"
"2474","P09601","cellular response to nutrient","GO:0031670"
"2475","P09601","cytokine-mediated signaling pathway","GO:0019221"
"2476","P09601","endothelial cell proliferation","GO:0001935"
"2477","P09601","erythrocyte homeostasis","GO:0034101"
"2478","P09601","excretion","GO:0007588"
"2479","P09601","heme catabolic process","GO:0042167"
"2480","P09601","heme oxidation","GO:0006788"
"2481","P09601","intracellular signal transduction","GO:0035556"
"2482","P09601","intrinsic apoptotic signaling pathway in response to DNA damage","GO:0008630"
"2483","P09601","iron ion homeostasis","GO:0055072"
"2484","P09601","liver regeneration","GO:0097421"
"2485","P09601","low-density lipoprotein particle clearance","GO:0034383"
"2486","P09601","negative regulation of DNA binding","GO:0043392"
"2487","P09601","negative regulation of DNA-binding transcription factor activity","GO:0043433"
"2488","P09601","negative regulation of epithelial cell apoptotic process","GO:1904036"
"2489","P09601","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","GO:1902042"
"2490","P09601","negative regulation of leukocyte migration","GO:0002686"
"2491","P09601","negative regulation of macroautophagy","GO:0016242"
"2492","P09601","negative regulation of mast cell cytokine production","GO:0032764"
"2493","P09601","negative regulation of mast cell degranulation","GO:0043305"
"2494","P09601","negative regulation of muscle cell apoptotic process","GO:0010656"
"2495","P09601","negative regulation of neuron apoptotic process","GO:0043524"
"2496","P09601","negative regulation of smooth muscle cell proliferation","GO:0048662"
"2497","P09601","negative regulation of vascular smooth muscle cell proliferation","GO:1904706"
"2498","P09601","positive regulation of angiogenesis","GO:0045766"
"2499","P09601","positive regulation of apoptotic process","GO:0043065"
"2500","P09601","positive regulation of blood vessel diameter","GO:0097755"
"2501","P09601","positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","GO:1903589"
"2502","P09601","positive regulation of cell migration involved in sprouting angiogenesis","GO:0090050"
"2503","P09601","positive regulation of chemokine biosynthetic process","GO:0045080"
"2504","P09601","positive regulation of I-kappaB kinase/NF-kappaB signaling","GO:0043123"
"2505","P09601","positive regulation of macroautophagy","GO:0016239"
"2506","P09601","positive regulation of smooth muscle cell proliferation","GO:0048661"
"2507","P09601","protein homooligomerization","GO:0051260"
"2508","P09601","regulation of angiogenesis","GO:0045765"
"2509","P09601","regulation of blood pressure","GO:0008217"
"2510","P09601","regulation of DNA-binding transcription factor activity","GO:0051090"
"2511","P09601","regulation of transcription from RNA polymerase II promoter in response to iron","GO:0034395"
"2512","P09601","regulation of transcription from RNA polymerase II promoter in response to oxidative stress","GO:0043619"
"2513","P09601","response to estrogen","GO:0043627"
