"","UniProt_ID","Reactome_ID","Pathway_Description"
"398","P05231","R-HSA-110056","MAPK3 (ERK1) activation"
"399","P05231","R-HSA-112411","MAPK1 (ERK2) activation"
"400","P05231","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)"
"401","P05231","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"402","P05231","R-HSA-6783783","Interleukin-10 signaling"
"403","P05231","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"404","P05231","R-HSA-8957275","Post-translational protein phosphorylation"
"405","P05362","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"406","P05362","R-HSA-216083","Integrin cell surface interactions"
"407","P05362","R-HSA-6783783","Interleukin-10 signaling"
"408","P05362","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"409","P05362","R-HSA-877300","Interferon gamma signaling"
"410","P06681","R-HSA-166663","Initial triggering of complement"
"411","P06681","R-HSA-174577","Activation of C3 and C5"
"412","P06681","R-HSA-977606","Regulation of Complement cascade"
"413","P06748","R-HSA-180746","Nuclear import of Rev protein"
"414","P06748","R-HSA-3899300","SUMOylation of transcription cofactors"
"415","P06748","R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere"
"416","P06748","R-HSA-6804115","TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain"
"417","P06748","R-HSA-8869496","TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation"
"418","P07196","R-HSA-438066","Unblocking of NMDA receptors, glutamate binding and activation"
"419","P07196","R-HSA-442982","Ras activation upon Ca2+ influx through NMDA receptor"
"420","P07196","R-HSA-5673001","RAF/MAP kinase cascade"
"421","P07196","R-HSA-9609736","Assembly and cell surface presentation of NMDA receptors"
"422","P07196","R-HSA-9617324","Negative regulation of NMDA receptor-mediated neuronal transmission"
"423","P07196","R-HSA-9620244","Long-term potentiation"
"424","P07306","R-HSA-446203","Asparagine N-linked glycosylation"
"425","P07339","R-HSA-1442490","Collagen degradation"
"426","P07339","R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins"
"427","P07339","R-HSA-2132295","MHC class II antigen presentation"
"428","P07339","R-HSA-6798695","Neutrophil degranulation"
"429","P07339","R-HSA-9018519","Estrogen-dependent gene expression"
"430","P07359","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation"
"431","P07359","R-HSA-430116","GP1b-IX-V activation signalling"
"432","P07359","R-HSA-75892","Platelet Adhesion to exposed collagen"
"433","P07359","R-HSA-76009","Platelet Aggregation (Plug Formation)"
"434","P07359","R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function"
"435","P07451","R-HSA-1475029","Reversible hydration of carbon dioxide"
"436","P07478","R-HSA-1442490","Collagen degradation"
"437","P07478","R-HSA-1462054","Alpha-defensins"
"438","P07478","R-HSA-1592389","Activation of Matrix Metalloproteinases"
"439","P07478","R-HSA-6798695","Neutrophil degranulation"
"440","P07478","R-HSA-6803157","Antimicrobial peptides"
"441","P07585","R-HSA-1474228","Degradation of the extracellular matrix"
"442","P07585","R-HSA-1971475","A tetrasaccharide linker sequence is required for GAG synthesis"
"443","P07585","R-HSA-2022870","Chondroitin sulfate biosynthesis"
"444","P07585","R-HSA-2022923","Dermatan sulfate biosynthesis"
"445","P07585","R-HSA-2024101","CS/DS degradation"
"446","P07585","R-HSA-3000178","ECM proteoglycans"
"447","P07585","R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type"
"448","P07585","R-HSA-3560801","Defective B3GAT3 causes JDSSDHD"
"449","P07585","R-HSA-3595172","Defective CHST3 causes SEDCJD"
"450","P07585","R-HSA-3595174","Defective CHST14 causes EDS, musculocontractural type"
"451","P07585","R-HSA-3595177","Defective CHSY1 causes TPBS"
"452","P07585","R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1"
"453","P07911","R-HSA-446203","Asparagine N-linked glycosylation"
"454","P08253","R-HSA-1442490","Collagen degradation"
"455","P08253","R-HSA-1474228","Degradation of the extracellular matrix"
"456","P08253","R-HSA-1592389","Activation of Matrix Metalloproteinases"
"457","P08253","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"458","P08253","R-HSA-3928665","EPH-ephrin mediated repulsion of cells"
"459","P08253","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"460","P08253","R-HSA-9009391","Extra-nuclear estrogen signaling"
"461","P08254","R-HSA-1442490","Collagen degradation"
"462","P08254","R-HSA-1474228","Degradation of the extracellular matrix"
"463","P08254","R-HSA-1592389","Activation of Matrix Metalloproteinases"
"464","P08254","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures"
"465","P08254","R-HSA-2179392","EGFR Transactivation by Gastrin"
"466","P08254","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"467","P08254","R-HSA-9009391","Extra-nuclear estrogen signaling"
"468","P08581","R-HSA-1257604","PIP3 activates AKT signaling"
"469","P08581","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"470","P08581","R-HSA-416550","Sema4D mediated inhibition of cell attachment and migration"
"471","P08581","R-HSA-5673001","RAF/MAP kinase cascade"
"472","P08581","R-HSA-6806942","MET Receptor Activation"
"473","P08581","R-HSA-6807004","Negative regulation of MET activity"
"474","P08581","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"475","P08581","R-HSA-8851805","MET activates RAS signaling"
"476","P08581","R-HSA-8851907","MET activates PI3K/AKT signaling"
"477","P08581","R-HSA-8865999","MET activates PTPN11"
"478","P08581","R-HSA-8874081","MET activates PTK2 signaling"
"479","P08581","R-HSA-8875360","InlB-mediated entry of Listeria monocytogenes into host cell"
"480","P08581","R-HSA-8875513","MET interacts with TNS proteins"
"481","P08581","R-HSA-8875555","MET activates RAP1 and RAC1"
"482","P08581","R-HSA-8875656","MET receptor recycling"
"483","P08581","R-HSA-8875791","MET activates STAT3"
"484","P08581","R-HSA-9022699","MECP2 regulates neuronal receptors and channels"
"485","P08709","R-HSA-1368108","BMAL1:CLOCK,NPAS2 activates circadian gene expression"
"486","P08709","R-HSA-140834","Extrinsic Pathway of Fibrin Clot Formation"
"487","P08709","R-HSA-159740","Gamma-carboxylation of protein precursors"
"488","P08709","R-HSA-159763","Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"
"489","P08709","R-HSA-159782","Removal of aminoterminal propeptides from gamma-carboxylated proteins"
"490","P08833","R-HSA-380994","ATF4 activates genes in response to endoplasmic reticulum stress"
"491","P08833","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"492","P08833","R-HSA-8957275","Post-translational protein phosphorylation"
"493","P08833","R-HSA-9615017","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
"494","P08887","R-HSA-1059683","Interleukin-6 signaling [P08887-2]"
"495","P08887","R-HSA-110056","MAPK3 (ERK1) activation [P08887-2]"
"496","P08887","R-HSA-112411","MAPK1 (ERK2) activation [P08887-2]"
"497","P08887","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"498","P08887","R-HSA-9616222","Transcriptional regulation of granulopoiesis"
"499","P08962","R-HSA-114608","Platelet degranulation"
"500","P08962","R-HSA-6798695","Neutrophil degranulation"
"501","P09038","R-HSA-109704","PI3K Cascade"
"502","P09038","R-HSA-1257604","PIP3 activates AKT signaling"
"503","P09038","R-HSA-1839122","Signaling by activated point mutants of FGFR1"
"504","P09038","R-HSA-1839130","Signaling by activated point mutants of FGFR3"
"505","P09038","R-HSA-190322","FGFR4 ligand binding and activation"
"506","P09038","R-HSA-190370","FGFR1b ligand binding and activation"
"507","P09038","R-HSA-190372","FGFR3c ligand binding and activation"
"508","P09038","R-HSA-190373","FGFR1c ligand binding and activation"
"509","P09038","R-HSA-190375","FGFR2c ligand binding and activation"
"510","P09038","R-HSA-190377","FGFR2b ligand binding and activation"
"511","P09038","R-HSA-2033514","FGFR3 mutant receptor activation"
"512","P09038","R-HSA-2033519","Activated point mutants of FGFR2"
"513","P09038","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"514","P09038","R-HSA-2892247","POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"
"515","P09038","R-HSA-3000170","Syndecan interactions"
"516","P09038","R-HSA-3000171","Non-integrin membrane-ECM interactions"
"517","P09038","R-HSA-5654219","Phospholipase C-mediated cascade: FGFR1"
"518","P09038","R-HSA-5654221","Phospholipase C-mediated cascade, FGFR2"
"519","P09038","R-HSA-5654227","Phospholipase C-mediated cascade, FGFR3"
"520","P09038","R-HSA-5654228","Phospholipase C-mediated cascade, FGFR4"
"521","P09038","R-HSA-5654687","Downstream signaling of activated FGFR1"
"522","P09038","R-HSA-5654688","SHC-mediated cascade:FGFR1"
"523","P09038","R-HSA-5654689","PI-3K cascade:FGFR1"
"524","P09038","R-HSA-5654693","FRS-mediated FGFR1 signaling"
"525","P09038","R-HSA-5654695","PI-3K cascade:FGFR2"
"526","P09038","R-HSA-5654699","SHC-mediated cascade:FGFR2"
"527","P09038","R-HSA-5654700","FRS-mediated FGFR2 signaling"
"528","P09038","R-HSA-5654704","SHC-mediated cascade:FGFR3"
"529","P09038","R-HSA-5654706","FRS-mediated FGFR3 signaling"
"530","P09038","R-HSA-5654710","PI-3K cascade:FGFR3"
"531","P09038","R-HSA-5654712","FRS-mediated FGFR4 signaling"
"532","P09038","R-HSA-5654719","SHC-mediated cascade:FGFR4"
"533","P09038","R-HSA-5654720","PI-3K cascade:FGFR4"
"534","P09038","R-HSA-5654726","Negative regulation of FGFR1 signaling"
"535","P09038","R-HSA-5654727","Negative regulation of FGFR2 signaling"
"536","P09038","R-HSA-5654732","Negative regulation of FGFR3 signaling"
"537","P09038","R-HSA-5654733","Negative regulation of FGFR4 signaling"
"538","P09038","R-HSA-5655253","Signaling by FGFR2 in disease"
"539","P09038","R-HSA-5655302","Signaling by FGFR1 in disease"
"540","P09038","R-HSA-5658623","FGFRL1 modulation of FGFR1 signaling"
"541","P09038","R-HSA-5673001","RAF/MAP kinase cascade"
"542","P09038","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"543","P09038","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"544","P09038","R-HSA-8851708","Signaling by FGFR2 IIIa TM"
"545","P09038","R-HSA-8853338","Signaling by FGFR3 point mutants in cancer"
"546","P09211","R-HSA-156590","Glutathione conjugation"
"547","P09211","R-HSA-3299685","Detoxification of Reactive Oxygen Species"
"548","P09211","R-HSA-6798695","Neutrophil degranulation"
"549","P09237","R-HSA-1442490","Collagen degradation"
"550","P09237","R-HSA-1474228","Degradation of the extracellular matrix"
"551","P09237","R-HSA-1592389","Activation of Matrix Metalloproteinases"
"552","P09237","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures"
"553","P09237","R-HSA-9009391","Extra-nuclear estrogen signaling"
"554","P09238","R-HSA-1442490","Collagen degradation"
"555","P09238","R-HSA-1474228","Degradation of the extracellular matrix"
"556","P09238","R-HSA-1592389","Activation of Matrix Metalloproteinases"
"557","P09341","R-HSA-380108","Chemokine receptors bind chemokines"
"558","P09341","R-HSA-418594","G alpha (i) signalling events"
"559","P09341","R-HSA-6783783","Interleukin-10 signaling"
"560","P09341","R-HSA-6798695","Neutrophil degranulation"
"561","P09382","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"562","P09382","R-HSA-8957275","Post-translational protein phosphorylation"
"563","P09601","R-HSA-189483","Heme degradation"
"564","P09601","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"565","P09601","R-HSA-917937","Iron uptake and transport"
"566","P09601","R-HSA-9609523","Insertion of tail-anchored proteins into the endoplasmic reticulum membrane"
"567","P09603","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"568","P09603","R-HSA-449836","Other interleukin signaling"
"569","P09603","R-HSA-6783783","Interleukin-10 signaling"
"570","P09603","R-HSA-8957275","Post-translational protein phosphorylation"
"571","P0DOY2","R-HSA-166663","Initial triggering of complement"
"572","P0DOY2","R-HSA-173623","Classical antibody-mediated complement activation"
"573","P0DOY2","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"574","P0DOY2","R-HSA-202733","Cell surface interactions at the vascular wall"
"575","P0DOY2","R-HSA-2029481","FCGR activation"
"576","P0DOY2","R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation"
"577","P0DOY2","R-HSA-2029485","Role of phospholipids in phagocytosis"
"578","P0DOY2","R-HSA-2168880","Scavenging of heme from plasma"
"579","P0DOY2","R-HSA-2454202","Fc epsilon receptor (FCERI) signaling"
"580","P0DOY2","R-HSA-2730905","Role of LAT2/NTAL/LAB on calcium mobilization"
"581","P0DOY2","R-HSA-2871796","FCERI mediated MAPK activation"
"582","P0DOY2","R-HSA-2871809","FCERI mediated Ca+2 mobilization"
"583","P0DOY2","R-HSA-2871837","FCERI mediated NF-kB activation"
"584","P0DOY2","R-HSA-5690714","CD22 mediated BCR regulation"
"585","P0DOY2","R-HSA-977606","Regulation of Complement cascade"
"586","P0DOY2","R-HSA-983695","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"
"587","P10144","R-HSA-2197563","NOTCH2 intracellular domain regulates transcription"
"588","P10144","R-HSA-75108","Activation, myristolyation of BID and translocation to mitochondria"
"589","P10145","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)"
"590","P10145","R-HSA-375276","Peptide ligand-binding receptors"
"591","P10145","R-HSA-380108","Chemokine receptors bind chemokines"
"592","P10145","R-HSA-380994","ATF4 activates genes in response to endoplasmic reticulum stress"
"593","P10145","R-HSA-418594","G alpha (i) signalling events"
"594","P10145","R-HSA-6783783","Interleukin-10 signaling"
"595","P10145","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"596","P10147","R-HSA-380108","Chemokine receptors bind chemokines"
"597","P10147","R-HSA-6783783","Interleukin-10 signaling"
"598","P10451","R-HSA-1474228","Degradation of the extracellular matrix"
"599","P10451","R-HSA-186797","Signaling by PDGF"
"600","P10451","R-HSA-216083","Integrin cell surface interactions"
"601","P10451","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"602","P10451","R-HSA-8949275","RUNX3 Regulates Immune Response and Cell Migration"
"603","P10451","R-HSA-8957275","Post-translational protein phosphorylation"
"604","P10646","R-HSA-140834","Extrinsic Pathway of Fibrin Clot Formation"
"605","P10721","R-HSA-1257604","PIP3 activates AKT signaling"
"606","P10721","R-HSA-1433557","Signaling by SCF-KIT"
"607","P10721","R-HSA-1433559","Regulation of KIT signaling"
"608","P10721","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"609","P10721","R-HSA-5673001","RAF/MAP kinase cascade"
"610","P10721","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"611","P10721","R-HSA-8866910","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors"
"612","P10747","R-HSA-1257604","PIP3 activates AKT signaling"
"613","P10747","R-HSA-164939","Nef mediated downregulation of CD28 cell surface expression"
"614","P10747","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"615","P10747","R-HSA-389356","CD28 co-stimulation"
"616","P10747","R-HSA-389357","CD28 dependent PI3K/Akt signaling"
"617","P10747","R-HSA-389359","CD28 dependent Vav1 pathway"
"618","P10747","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"619","P11215","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade"
"620","P11215","R-HSA-202733","Cell surface interactions at the vascular wall"
"621","P11215","R-HSA-216083","Integrin cell surface interactions"
"622","P11215","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"623","P11215","R-HSA-6798695","Neutrophil degranulation"
"624","P11226","R-HSA-166662","Lectin pathway of complement activation"
"625","P11226","R-HSA-166663","Initial triggering of complement"
"626","P11464","R-HSA-202733","Cell surface interactions at the vascular wall"
"627","P12034","R-HSA-109704","PI3K Cascade [P12034-1]"
"628","P12034","R-HSA-1257604","PIP3 activates AKT signaling [P12034-1]"
"629","P12034","R-HSA-1839122","Signaling by activated point mutants of FGFR1 [P12034-1]"
"630","P12034","R-HSA-1839130","Signaling by activated point mutants of FGFR3 [P12034-1]"
"631","P12034","R-HSA-190372","FGFR3c ligand binding and activation [P12034-1]"
"632","P12034","R-HSA-190373","FGFR1c ligand binding and activation [P12034-1]"
"633","P12034","R-HSA-190375","FGFR2c ligand binding and activation [P12034-1]"
"634","P12034","R-HSA-2033514","FGFR3 mutant receptor activation [P12034-1]"
"635","P12034","R-HSA-2033519","Activated point mutants of FGFR2 [P12034-1]"
"636","P12034","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer [P12034-1]"
"637","P12034","R-HSA-5654219","Phospholipase C-mediated cascade: FGFR1 [P12034-1]"
"638","P12034","R-HSA-5654221","Phospholipase C-mediated cascade, FGFR2 [P12034-1]"
"639","P12034","R-HSA-5654227","Phospholipase C-mediated cascade, FGFR3 [P12034-1]"
"640","P12034","R-HSA-5654687","Downstream signaling of activated FGFR1 [P12034-1]"
"641","P12034","R-HSA-5654688","SHC-mediated cascade:FGFR1 [P12034-1]"
"642","P12034","R-HSA-5654689","PI-3K cascade:FGFR1 [P12034-1]"
"643","P12034","R-HSA-5654693","FRS-mediated FGFR1 signaling [P12034-1]"
"644","P12034","R-HSA-5654695","PI-3K cascade:FGFR2 [P12034-1]"
"645","P12034","R-HSA-5654699","SHC-mediated cascade:FGFR2 [P12034-1]"
"646","P12034","R-HSA-5654700","FRS-mediated FGFR2 signaling [P12034-1]"
"647","P12034","R-HSA-5654704","SHC-mediated cascade:FGFR3 [P12034-1]"
"648","P12034","R-HSA-5654706","FRS-mediated FGFR3 signaling [P12034-1]"
"649","P12034","R-HSA-5654710","PI-3K cascade:FGFR3 [P12034-1]"
"650","P12034","R-HSA-5654726","Negative regulation of FGFR1 signaling [P12034-1]"
"651","P12034","R-HSA-5654727","Negative regulation of FGFR2 signaling [P12034-1]"
"652","P12034","R-HSA-5654732","Negative regulation of FGFR3 signaling [P12034-1]"
"653","P12034","R-HSA-5655253","Signaling by FGFR2 in disease [P12034-1]"
"654","P12034","R-HSA-5655302","Signaling by FGFR1 in disease [P12034-1]"
"655","P12034","R-HSA-5658623","FGFRL1 modulation of FGFR1 signaling [P12034-1]"
"656","P12034","R-HSA-5673001","RAF/MAP kinase cascade [P12034-1]"
"657","P12034","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling [P12034-1]"
"658","P12034","R-HSA-8853338","Signaling by FGFR3 point mutants in cancer [P12034-1]"
"659","P12318","R-HSA-2029481","FCGR activation"
"660","P12318","R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation"
"661","P12318","R-HSA-2029485","Role of phospholipids in phagocytosis"
"662","P12318","R-HSA-6798695","Neutrophil degranulation"
"663","P12830","R-HSA-1474228","Degradation of the extracellular matrix"
"664","P12830","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"665","P12830","R-HSA-216083","Integrin cell surface interactions"
"666","P12830","R-HSA-351906","Apoptotic cleavage of cell adhesion proteins"
"667","P12830","R-HSA-418990","Adherens junctions interactions"
"668","P12830","R-HSA-5626467","RHO GTPases activate IQGAPs"
"669","P12830","R-HSA-8876493","InlA-mediated entry of Listeria monocytogenes into host cells"
"670","P13232","R-HSA-1266695","Interleukin-7 signaling"
"671","P13236","R-HSA-380108","Chemokine receptors bind chemokines"
"672","P13236","R-HSA-418594","G alpha (i) signalling events"
"673","P13236","R-HSA-6783783","Interleukin-10 signaling"
"674","P13284","R-HSA-2132295","MHC class II antigen presentation"
"675","P13284","R-HSA-877300","Interferon gamma signaling"
"676","P13385","R-HSA-1181150","Signaling by NODAL"
"677","P13385","R-HSA-1433617","Regulation of signaling by NODAL"
"678","P13385","R-HSA-2892247","POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"
"679","P13500","R-HSA-380108","Chemokine receptors bind chemokines"
"680","P13500","R-HSA-380994","ATF4 activates genes in response to endoplasmic reticulum stress"
"681","P13500","R-HSA-6783783","Interleukin-10 signaling"
"682","P13500","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"683","P13501","R-HSA-380108","Chemokine receptors bind chemokines"
"684","P13501","R-HSA-418594","G alpha (i) signalling events"
"685","P13501","R-HSA-6783783","Interleukin-10 signaling"
"686","P13591","R-HSA-3000178","ECM proteoglycans"
"687","P13591","R-HSA-375165","NCAM signaling for neurite out-growth"
"688","P13591","R-HSA-419037","NCAM1 interactions"
"689","P13591","R-HSA-445144","Signal transduction by L1"
"690","P13591","R-HSA-5673001","RAF/MAP kinase cascade"
"691","P13591","R-HSA-877300","Interferon gamma signaling"
"692","P13598","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"693","P13598","R-HSA-216083","Integrin cell surface interactions"
"694","P13598","R-HSA-5621575","CD209 (DC-SIGN) signaling"
"695","P13686","R-HSA-196843","Vitamin B2 (riboflavin) metabolism"
"696","P13725","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"697","P13725","R-HSA-6788467","IL-6-type cytokine receptor ligand interactions"
"698","P13987","R-HSA-204005","COPII-mediated vesicle transport"
"699","P13987","R-HSA-5694530","Cargo concentration in the ER"
"700","P13987","R-HSA-6798695","Neutrophil degranulation"
"701","P13987","R-HSA-6807878","COPI-mediated anterograde transport"
"702","P13987","R-HSA-977606","Regulation of Complement cascade"
"703","P14151","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"704","P14151","R-HSA-202733","Cell surface interactions at the vascular wall"
"705","P14151","R-HSA-6798695","Neutrophil degranulation"
"706","P14207","R-HSA-163125","Post-translational modification: synthesis of GPI-anchored proteins"
"707","P14207","R-HSA-196757","Metabolism of folate and pterines"
"708","P14210","R-HSA-114608","Platelet degranulation"
"709","P14210","R-HSA-1257604","PIP3 activates AKT signaling"
"710","P14210","R-HSA-1266695","Interleukin-7 signaling"
"711","P14210","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"712","P14210","R-HSA-5673001","RAF/MAP kinase cascade"
"713","P14210","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"714","P14210","R-HSA-6806942","MET Receptor Activation"
"715","P14210","R-HSA-6807004","Negative regulation of MET activity"
"716","P14210","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"717","P14210","R-HSA-8851805","MET activates RAS signaling"
"718","P14210","R-HSA-8851907","MET activates PI3K/AKT signaling"
"719","P14210","R-HSA-8865999","MET activates PTPN11"
"720","P14210","R-HSA-8874081","MET activates PTK2 signaling"
"721","P14210","R-HSA-8875513","MET interacts with TNS proteins"
"722","P14210","R-HSA-8875555","MET activates RAP1 and RAC1"
"723","P14210","R-HSA-8875656","MET receptor recycling"
"724","P14210","R-HSA-8875791","MET activates STAT3"
"725","P14543","R-HSA-1474228","Degradation of the extracellular matrix"
"726","P14543","R-HSA-3000157","Laminin interactions"
"727","P14625","R-HSA-1679131","Trafficking and processing of endosomal TLR"
"728","P14625","R-HSA-3000480","Scavenging by Class A Receptors"
"729","P14625","R-HSA-381183","ATF6 (ATF6-alpha) activates chaperone genes"
"730","P14625","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"731","P14625","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"732","P14625","R-HSA-8957275","Post-translational protein phosphorylation"
"733","P14778","R-HSA-6783783","Interleukin-10 signaling"
"734","P14778","R-HSA-9020702","Interleukin-1 signaling"
"735","P14780","R-HSA-1433557","Signaling by SCF-KIT"
"736","P14780","R-HSA-1442490","Collagen degradation"
"737","P14780","R-HSA-1474228","Degradation of the extracellular matrix"
"738","P14780","R-HSA-1592389","Activation of Matrix Metalloproteinases"
"739","P14780","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures"
"740","P14780","R-HSA-3928665","EPH-ephrin mediated repulsion of cells"
"741","P14780","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"742","P14780","R-HSA-6798695","Neutrophil degranulation"
"743","P14780","R-HSA-9009391","Extra-nuclear estrogen signaling"
"744","P14784","R-HSA-5673001","RAF/MAP kinase cascade"
"745","P14784","R-HSA-8983432","Interleukin-15 signaling"
"746","P14784","R-HSA-9020558","Interleukin-2 signaling"
"747","P14784","R-HSA-912526","Interleukin receptor SHC signaling"
"748","P15018","R-HSA-6783783","Interleukin-10 signaling"
"749","P15018","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"750","P15018","R-HSA-6788467","IL-6-type cytokine receptor ligand interactions"
"751","P15086","R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins"
"752","P15090","R-HSA-163560","Triglyceride catabolism"
"753","P15090","R-HSA-381340","Transcriptional regulation of white adipocyte differentiation"
"754","P15144","R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins"
"755","P15144","R-HSA-6798695","Neutrophil degranulation"
"756","P15529","R-HSA-977606","Regulation of Complement cascade"
"757","P15692","R-HSA-114608","Platelet degranulation"
"758","P15692","R-HSA-1234158","Regulation of gene expression by Hypoxia-inducible Factor"
"759","P15692","R-HSA-194313","VEGF ligand-receptor interactions"
"760","P15692","R-HSA-195399","VEGF binds to VEGFR leading to receptor dimerization"
"761","P15692","R-HSA-4420097","VEGFA-VEGFR2 Pathway [P15692-4]"
"762","P15692","R-HSA-5218921","VEGFR2 mediated cell proliferation [P15692-4]"
"763","P15692","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"764","P15692","R-HSA-8866910","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors"
"765","P15907","R-HSA-4085001","Sialic acid metabolism"
"766","P15907","R-HSA-975577","N-Glycan antennae elongation"
"767","P15907","R-HSA-977068","Termination of O-glycan biosynthesis"
"768","P16109","R-HSA-114608","Platelet degranulation"
"769","P16109","R-HSA-202733","Cell surface interactions at the vascular wall"
"770","P16284","R-HSA-114608","Platelet degranulation"
"771","P16284","R-HSA-202733","Cell surface interactions at the vascular wall"
"772","P16284","R-HSA-210990","PECAM1 interactions"
"773","P16284","R-HSA-216083","Integrin cell surface interactions"
"774","P16284","R-HSA-432142","Platelet sensitization by LDL"
"775","P16284","R-HSA-6798695","Neutrophil degranulation"
"776","P16422","R-HSA-202733","Cell surface interactions at the vascular wall"
"777","P16444","R-HSA-2142691","Synthesis of Leukotrienes (LT) and Eoxins (EX)"
"778","P16444","R-HSA-5423646","Aflatoxin activation and detoxification"
"779","P16581","R-HSA-202733","Cell surface interactions at the vascular wall"
"780","P16871","R-HSA-1266695","Interleukin-7 signaling"
"781","P16871","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis"
"782","P16871","R-HSA-8856828","Clathrin-mediated endocytosis"
"783","P17931","R-HSA-6798695","Neutrophil degranulation"
"784","P17931","R-HSA-879415","Advanced glycosylation endproduct receptor signaling"
"785","P17931","R-HSA-8939246","RUNX1 regulates transcription of genes involved in differentiation of myeloid cells"
"786","P17931","R-HSA-8941333","RUNX2 regulates genes involved in differentiation of myeloid cells"
